Order,Day-Order,Time-Order,Day-Ops,Service,Type,Origin,X,Y,Early,Latest,Demand,Service Time 
,,,,,0,1,25,68,,,,0
,,,,,1,1,25,68,,,,15
,,,,,1,1,44,65,,,,15
,,,,,1,1,74,64,,,,15
,,,,,1,1,50,33,,,,15
,,,,,1,1,70,38,,,,15
,,,,,1,1,65,64,,,,15
,,,,,1,1,32,36,,,,15
,,,,,1,1,53,21,,,,15
,,,,,1,1,42,55,,,,15
,,,,,0,2,35,33,,,,0
,,,,,1,2,35,33,,,,15
,,,,,1,2,51,27,,,,15
,,,,,1,2,60,36,,,,15
,,,,,1,2,73,16,,,,15
,,,,,1,2,18,37,,,,15
,,,,,1,2,65,54,,,,15
,,,,,1,2,75,40,,,,15
,,,,,1,2,45,42,,,,15
,,,,,1,2,60,29,,,,15
1,1,0,1,1,3,1,32,32,60,180,1,5
2,1,0,1,1,3,1,69,73,180,300,1,5
3,1,0,1,1,3,1,12,36,180,300,1,5
4,1,0,1,1,3,1,36,13,60,180,4,5
5,1,0,1,1,3,1,25,80,180,300,3,5
6,1,0,1,1,3,1,35,26,60,180,1,5
7,1,0,1,1,3,1,23,65,60,180,1,5
8,1,0,1,1,3,1,53,59,180,300,1,5
9,1,0,1,1,3,1,55,50,60,180,1,5
10,1,0,1,1,3,1,46,41,180,300,1,5
11,1,0,1,1,3,1,71,49,180,300,2,5
12,1,13,1,1,3,1,44,43,60,180,1,5
13,1,49,1,1,3,1,27,47,60,180,1,5
14,1,58,1,1,3,1,52,74,180,300,1,5
15,1,60,1,2,3,1,72,29,420,540,2,5
16,1,66,1,1,3,1,34,39,180,300,1,5
17,1,68,1,1,3,1,34,39,180,300,1,5
18,1,70,1,1,3,1,29,68,180,300,1,5
19,1,83,1,1,3,1,76,39,180,300,1,5
20,1,83,1,1,3,1,70,72,180,300,1,5
21,1,87,1,1,3,1,49,40,180,300,5,5
22,1,87,1,1,3,1,22,57,180,300,1,5
23,1,96,1,1,3,1,27,59,180,300,1,5
24,1,104,1,1,3,1,24,57,180,300,1,5
25,1,109,1,1,3,1,77,65,180,300,5,5
26,1,117,1,1,3,1,72,35,180,300,1,5
27,1,137,1,1,3,1,37,56,180,300,1,5
28,1,141,1,1,3,1,25,66,180,300,1,5
29,1,144,1,1,3,1,52,74,180,300,2,5
30,1,144,1,1,3,1,52,74,180,300,2,5
31,1,151,1,1,3,1,52,74,180,300,1,5
32,1,153,1,1,3,1,27,61,180,300,1,5
33,1,155,1,1,3,1,50,59,180,300,1,5
34,1,156,1,1,3,1,47,24,180,300,1,5
35,1,160,1,1,3,1,30,71,180,300,1,5
36,1,162,1,1,3,1,26,44,180,300,1,5
37,1,165,1,1,3,1,40,34,180,300,1,5
38,1,168,1,1,3,1,34,33,180,300,1,5
39,1,168,1,1,3,1,29,14,180,300,1,5
40,1,172,1,1,3,1,45,38,180,300,1,5
41,1,174,1,1,3,1,40,34,180,300,1,5
42,1,196,1,2,3,1,25,42,300,420,1,5
43,1,196,1,2,3,1,48,70,300,420,1,5
44,1,198,1,2,3,1,67,44,300,420,1,5
45,1,208,1,2,3,1,71,33,300,420,3,5
46,1,211,1,2,3,1,40,55,300,420,5,5
