Order,Day-Order,Time-Order,Day-Ops,Service,Type,Origin,X,Y,Early,Latest,Demand,Service Time
,,,,,0,1,50,38,,,,0
,,,,,1,1,50,38,,,,15
,,,,,1,1,17,73,,,,15
,,,,,1,1,21,20,,,,15
,,,,,1,1,23,61,,,,15
,,,,,1,1,30,42,,,,15
,,,,,0,2,53,59,,,,0
,,,,,1,2,53,59,,,,15
,,,,,1,2,38,69,,,,15
,,,,,1,2,22,34,,,,15
,,,,,1,2,72,80,,,,15
,,,,,1,2,59,21,,,,15
,,,,,1,2,86,44,,,,15
,,,,,1,2,30,77,,,,15
,,,,,0,3,45,74,,,,0
,,,,,1,3,45,74,,,,15
,,,,,1,3,24,88,,,,15
,,,,,1,3,47,84,,,,15
,,,,,1,3,83,83,,,,15
,,,,,1,3,54,53,,,,15
,,,,,1,3,77,58,,,,15
,,,,,1,3,72,83,,,,15
,,,,,1,3,33,55,,,,15
,,,,,1,3,58,40,,,,15
,,,,,0,4,25,38,,,,0
,,,,,1,4,25,38,,,,15
,,,,,1,4,17,53,,,,15
,,,,,1,4,14,76,,,,15
,,,,,1,4,48,54,,,,15
,,,,,1,4,49,79,,,,15
,,,,,1,4,78,66,,,,15
,,,,,1,4,28,64,,,,15
,,,,,0,5,42,51,,,,0
,,,,,1,5,42,51,,,,15
,,,,,1,5,28,36,,,,15
,,,,,1,5,81,54,,,,15
,,,,,1,5,31,49,,,,15
,,,,,1,5,10,67,,,,15
,,,,,1,5,57,24,,,,15
,,,,,1,5,62,68,,,,15
1,1,0,1,2,3,4,50,43,300,420,1,5
2,1,0,1,2,3,4,95,73,300,420,1,5
3,1,173,1,2,3,4,11,40,300,420,1,5
4,1,212,1,2,3,4,37,74,300,420,1,5
5,1,104,1,2,3,4,10,79,300,420,1,5
6,1,131,1,2,3,4,63,37,300,420,1,5
7,1,164,1,2,3,4,48,92,300,420,1,5
8,1,209,1,2,3,4,9,75,300,420,1,5
9,1,236,1,2,3,4,36,72,300,420,1,5
10,1,260,1,2,3,4,69,46,300,420,1,5
11,1,0,1,1,3,4,38,67,60,180,5,5
12,1,653,1,2,3,4,39,47,660,780,5,5
13,1,109,1,1,3,4,54,49,180,300,5,5
14,1,0,1,2,3,2,74,28,660,780,1,5
15,1,169,1,1,3,3,16,67,180,300,1,5
16,1,169,1,1,3,2,50,20,180,300,1,5
17,1,169,1,1,3,5,63,30,180,300,1,5
18,1,499,1,2,3,1,6,11,540,660,1,5
19,1,169,1,1,3,2,16,99,180,300,2,5
20,1,169,1,1,3,5,69,74,180,300,1,5
21,1,499,1,2,3,5,27,47,540,660,1,5
22,1,325,1,2,3,1,10,64,420,540,5,5
23,1,169,1,1,3,2,58,21,180,300,1,5
24,1,169,1,1,3,2,23,87,180,300,1,5
25,1,169,1,1,3,3,46,65,180,300,2,5
26,1,169,1,1,3,3,45,60,180,300,2,5
27,1,169,1,1,3,3,43,35,180,300,1,5
28,1,169,1,1,3,2,14,93,180,300,1,5
29,1,169,1,1,3,2,85,33,180,300,1,5
30,1,169,1,1,3,1,20,77,180,300,1,5
31,1,499,1,2,3,5,56,52,540,660,1,5
32,1,169,1,2,3,2,70,16,300,420,1,5
33,1,499,1,2,3,1,18,39,540,660,5,5
34,1,89,1,1,3,4,27,57,420,540,2,5
35,1,412,1,1,3,4,12,37,540,660,5,5
36,1,21,1,1,3,4,46,54,420,540,2,5
37,1,410,1,1,3,4,28,36,540,660,6,5
38,1,0,1,1,3,3,77,92,180,300,4,5
39,1,618,1,2,3,3,41,52,660,780,6,5
