Order,Day-Order,Time-Order,Day-Ops,Service,Type,Origin,X,Y,Early,Latest,Demand,Service Time 
,,,,,0,1,50,100,,,,0
,,,,,1,1,27,36,,,,15
,,,,,1,1,60,24,,,,15
,,,,,0,2,50,100,,,,0
,,,,,1,2,53,67,,,,15
,,,,,1,2,22,33,,,,15
1,1,0,1,1,3,1,36,86,60,180,4,5
2,1,0,1,1,3,1,85,71,60,180,2,5
3,1,0,1,1,3,2,0,88,60,180,4,5
4,1,0,1,1,3,2,5,92,60,180,4,5
5,1,0,1,1,3,1,73,75,60,180,4,5
6,1,0,1,1,3,1,47,20,60,180,3,5
7,1,0,1,1,3,2,36,63,60,180,4,5
8,1,0,1,1,3,2,44,82,60,180,1,5
9,1,0,1,1,3,2,23,92,60,180,1,5
10,1,0,1,1,3,1,88,15,60,180,1,5
11,1,0,1,1,3,2,80,1,60,180,4,5
12,1,0,1,1,3,2,45,25,60,180,4,5
13,1,0,1,1,3,1,91,64,60,180,1,5
14,1,0,1,1,3,1,78,32,60,180,1,5
15,1,0,1,1,3,2,87,53,60,180,3,5
16,1,0,1,1,3,2,71,72,60,180,4,5
17,1,0,1,1,3,2,85,86,60,180,2,5
18,1,0,1,1,3,1,33,71,60,180,3,5
19,1,0,1,1,3,1,64,53,60,180,3,5
20,1,0,1,1,3,1,95,84,60,180,4,5
21,1,0,1,1,3,2,43,63,60,180,4,5
22,1,0,1,1,3,2,33,84,60,180,4,5
23,1,0,1,1,3,1,20,62,60,180,1,5
24,1,0,1,1,3,1,20,17,60,180,3,5
25,1,0,1,1,3,1,10,45,60,180,4,5
26,1,0,1,1,3,1,44,58,60,180,3,5
27,1,0,1,1,3,1,65,89,60,180,3,5
28,1,0,1,1,3,1,19,6,60,180,3,5
29,1,0,1,1,3,1,98,47,60,180,2,5
30,1,0,1,1,3,2,16,7,60,180,1,5
31,1,0,1,1,3,1,36,32,60,180,1,5
32,1,0,1,1,3,1,13,85,60,180,4,5
33,1,0,1,1,3,2,39,24,60,180,2,5
34,1,0,1,1,3,1,52,12,60,180,1,5
35,1,0,1,1,3,1,71,41,60,180,2,5
36,1,0,1,1,3,2,76,26,60,180,4,5
37,1,0,1,1,3,2,67,29,60,180,3,5
38,1,0,1,1,3,2,23,73,60,180,3,5
39,1,0,1,1,3,2,56,67,60,180,1,5
40,1,0,1,2,3,1,16,28,420,540,1,5
41,1,0,1,1,3,1,60,96,60,180,2,5
42,1,0,1,2,3,2,24,50,180,300,3,5
43,1,0,1,1,3,1,30,82,60,180,2,5
44,1,0,1,1,3,1,31,82,60,180,3,5
45,1,0,1,1,3,1,90,94,60,180,4,5
46,1,0,1,1,3,1,14,20,60,180,4,5
47,1,0,1,1,3,2,35,77,60,180,2,5
48,1,0,1,1,3,1,4,78,60,180,4,5
49,1,0,1,1,3,1,18,51,60,180,4,5
50,1,0,1,1,3,2,6,51,60,180,4,5
51,1,0,1,1,3,1,100,9,60,180,4,5
52,1,0,1,1,3,2,32,52,60,180,2,5
53,1,0,1,1,3,1,66,70,60,180,2,5
54,1,0,1,1,3,2,14,18,60,180,3,5
55,1,0,1,2,3,1,1,30,300,600,1,5
56,1,0,1,1,3,2,74,99,60,180,3,5
57,1,0,1,1,3,1,74,23,60,180,4,5
58,1,0,1,1,3,1,31,21,60,180,4,5
59,1,0,1,1,3,2,3,100,60,180,2,5
60,1,0,1,1,3,2,59,69,60,180,3,5
61,1,0,1,1,3,2,26,37,60,180,4,5
62,1,0,1,1,3,2,37,55,60,180,4,5
63,1,0,1,1,3,1,30,63,60,180,2,5
64,1,0,1,1,3,2,85,26,60,180,2,5
65,1,0,1,1,3,1,86,46,60,180,1,5
66,1,0,1,1,3,2,81,89,60,180,4,5
67,1,0,1,1,3,1,78,39,60,180,1,5
68,1,0,1,1,3,1,93,64,60,180,3,5
69,1,0,1,1,3,2,17,41,60,180,2,5
70,1,0,1,1,3,1,94,50,60,180,2,5
71,1,0,1,1,3,1,64,69,60,180,3,5
72,1,0,1,1,3,2,60,30,60,180,1,5
73,1,0,1,1,3,2,100,12,60,180,3,5
74,1,0,1,1,3,2,25,51,60,180,2,5
75,1,0,1,1,3,1,78,2,60,180,3,5
76,1,0,1,1,3,2,15,87,60,180,1,5
77,1,0,1,2,3,1,92,90,300,420,2,5
78,1,0,1,1,3,2,88,14,60,180,3,5
79,1,0,1,1,3,1,60,75,60,180,3,5
80,1,0,1,1,3,2,62,7,60,180,4,5
81,1,0,1,1,3,1,8,25,60,180,2,5
82,1,0,1,1,3,1,95,93,60,180,3,5
83,1,0,1,1,3,1,94,21,60,180,3,5
84,1,0,1,1,3,2,61,77,60,180,4,5
85,1,0,1,1,3,2,8,93,60,180,3,5
86,1,0,1,1,3,1,88,41,60,180,2,5
87,1,0,1,1,3,1,0,29,60,180,3,5
88,1,0,1,1,3,1,98,81,60,180,3,5
89,1,0,1,2,3,2,16,69,60,180,4,5
90,1,0,1,1,3,2,34,79,60,180,4,5
91,1,0,1,1,3,2,1,37,60,180,3,5
92,1,0,1,1,3,2,15,92,60,180,4,5
93,1,0,1,1,3,1,27,75,60,180,2,5
94,1,0,1,1,3,1,25,23,60,180,3,5
95,1,0,1,1,3,1,78,44,60,180,2,5
96,1,0,1,1,3,1,78,8,60,180,3,5
97,1,0,1,1,3,1,26,12,60,180,1,5
98,1,0,1,1,3,1,23,21,60,180,1,5
99,1,0,1,1,3,1,49,19,60,180,4,5
100,1,0,1,1,3,1,58,43,60,180,3,5
101,1,0,1,1,3,2,81,53,60,180,1,5
102,1,0,1,1,3,2,49,56,60,180,2,5
103,1,0,1,1,3,2,44,18,60,180,1,5
104,1,0,1,1,3,2,68,100,60,180,4,5
105,1,0,1,1,3,2,53,9,60,180,4,5
106,1,0,1,1,3,2,52,6,60,180,4,5
107,1,0,1,1,3,2,32,48,60,180,2,5
108,1,0,1,1,3,2,83,3,60,180,3,5
109,1,0,1,1,3,2,49,22,60,180,4,5
110,1,0,1,1,3,1,7,19,60,180,4,5
111,1,0,1,1,3,2,22,12,60,180,1,5
112,1,0,1,1,3,1,47,45,60,180,3,5
113,1,0,1,1,3,2,32,92,60,180,3,5
114,1,0,1,1,3,1,48,68,60,180,2,5
115,1,0,1,1,3,1,34,43,60,180,4,5
116,1,0,1,1,3,2,6,31,60,180,3,5
117,1,0,1,1,3,1,18,22,60,180,3,5
118,1,0,1,1,3,2,75,18,60,180,3,5
119,1,0,1,1,3,2,20,80,60,180,2,5
120,1,397,2,1,3,1,30,71,180,300,2,5
121,1,514,2,1,3,2,50,23,0,300,2,5
122,1,53,2,1,3,1,97,17,60,180,4,5
123,1,301,2,1,3,2,66,40,180,300,1,5
124,1,139,2,1,3,2,66,21,0,300,2,5
125,1,149,2,1,3,2,73,65,60,180,4,5
126,1,38,2,1,3,2,31,56,0,300,2,5
127,1,430,2,1,3,1,1,79,180,300,4,5
128,1,79,2,1,3,2,53,97,180,300,1,5
129,1,272,2,1,3,2,43,92,0,300,3,5
130,1,355,2,1,3,2,68,77,180,300,3,5
131,1,14,2,1,3,1,81,0,0,300,1,5
132,1,140,2,1,3,2,76,73,60,180,1,5
133,1,171,2,1,3,1,32,4,180,300,4,5
134,1,480,2,1,3,1,60,7,0,300,2,5
135,1,39,2,1,3,1,78,100,0,300,3,5
136,1,449,2,1,3,2,48,37,180,300,3,5
137,1,456,2,1,3,2,35,56,180,300,2,5
138,1,532,2,1,3,2,52,83,0,300,4,5
139,1,428,2,1,3,2,68,69,60,180,3,5
140,1,597,2,1,3,1,34,28,180,300,4,5
141,1,216,2,1,3,1,29,0,180,300,3,5
142,1,90,2,1,3,1,25,55,60,180,2,5
143,1,440,2,1,3,2,63,52,60,180,1,5
144,1,29,2,1,3,1,54,40,60,180,3,5
145,1,174,2,1,3,1,57,33,0,300,2,5
146,1,362,2,1,3,2,43,72,0,300,3,5
147,1,89,2,1,3,1,36,77,180,300,4,5
148,1,95,2,1,3,1,53,71,0,300,1,5
149,1,217,2,1,3,2,5,40,180,300,2,5
150,1,276,2,1,3,1,31,78,60,180,3,5
151,10,533,11,1,3,2,70,56,0,300,1,5
152,10,317,11,1,3,1,83,68,0,300,3,5
153,3,266,3,2,3,2,15,30,420,540,3,5
154,8,81,8,1,3,1,32,86,180,300,4,5
155,12,564,14,1,3,1,68,70,180,300,4,5
156,13,448,14,1,3,1,72,71,60,180,4,5
157,10,13,11,2,3,1,13,91,420,540,4,5
158,12,206,13,2,3,1,78,6,420,540,2,5
159,4,452,5,1,3,1,22,51,180,300,1,5
160,12,68,13,1,3,1,70,37,0,300,1,5
161,4,499,6,1,3,2,33,62,60,180,4,5
162,8,470,10,1,3,2,99,94,60,180,2,5
163,14,336,15,1,3,2,50,81,180,300,4,5
164,9,534,11,1,3,1,53,61,60,180,2,5
165,11,66,11,1,3,1,56,92,180,300,1,5
