Order,Day-Order,Time-Order,Day-Ops,Service,Type,Origin,X,Y,Early,Latest,Demand,Service Time 
,,,,,0,1,50,100,,,,0
,,,,,1,1,27,36,,,,15
,,,,,1,1,60,24,,,,15
,,,,,0,2,50,100,,,,0
,,,,,1,2,53,67,,,,15
,,,,,1,2,22,33,,,,15
,,,,,0,3,50,100,,,,0
,,,,,1,3,39,54,,,,15
,,,,,1,3,60,56,,,,15
,,,,,0,4,50,100,,,,0
,,,,,1,4,26,45,,,,15
,,,,,1,4,50,68,,,,15
1,1,0,1,1,3,3,98,97,60,180,1,5
2,1,0,1,1,3,1,53,59,60,180,2,5
3,1,0,1,1,3,4,2,10,60,180,4,5
4,1,0,1,1,3,1,9,69,60,180,4,5
5,1,0,1,1,3,4,29,34,60,180,2,5
6,1,0,1,2,3,3,86,44,0,300,2,5
7,1,0,1,1,3,2,10,79,60,180,3,5
8,1,0,1,1,3,3,40,87,60,180,1,5
9,1,0,1,2,3,2,68,55,60,180,2,5
10,1,0,1,2,3,1,57,4,0,300,3,5
11,1,0,1,1,3,1,25,7,60,180,1,5
12,1,0,1,2,3,1,80,9,420,540,1,5
13,1,0,1,2,3,3,20,2,420,540,4,5
14,1,0,1,1,3,2,86,41,60,180,1,5
15,1,0,1,2,3,3,59,77,420,540,1,5
16,1,0,1,1,3,4,54,100,60,180,1,5
17,1,0,1,1,3,1,3,78,60,180,2,5
18,1,0,1,1,3,2,4,31,60,180,1,5
19,1,0,1,2,3,3,84,69,420,540,1,5
20,1,0,1,1,3,3,64,34,60,180,1,5
21,1,0,1,2,3,1,19,24,60,180,2,5
22,1,0,1,1,3,1,90,24,60,180,2,5
23,1,0,1,2,3,1,2,34,300,600,4,5
24,1,0,1,1,3,4,39,48,60,180,2,5
25,1,0,1,1,3,4,51,71,60,180,4,5
26,1,0,1,1,3,4,58,18,60,180,3,5
27,1,0,1,1,3,3,0,54,60,180,4,5
28,1,0,1,1,3,3,11,98,60,180,2,5
29,1,0,1,1,3,2,99,4,60,180,2,5
30,1,0,1,1,3,2,7,79,60,180,4,5
31,1,0,1,1,3,1,14,74,60,180,3,5
32,1,0,1,1,3,1,80,54,60,180,2,5
33,1,0,1,1,3,2,67,100,60,180,1,5
34,1,0,1,2,3,2,25,64,60,180,4,5
35,1,0,1,1,3,2,82,91,60,180,1,5
36,1,0,1,1,3,4,66,22,60,180,2,5
37,1,0,1,1,3,3,66,50,60,180,1,5
38,1,0,1,1,3,4,89,14,60,180,3,5
39,1,0,1,1,3,1,88,26,60,180,2,5
40,1,0,1,1,3,1,9,15,60,180,2,5
41,1,0,1,1,3,2,89,21,60,180,4,5
42,1,0,1,1,3,1,34,39,60,180,4,5
43,1,0,1,2,3,1,59,16,180,300,1,5
44,1,0,1,1,3,3,51,20,60,180,3,5
45,1,0,1,1,3,1,77,57,60,180,2,5
46,1,0,1,1,3,1,14,40,60,180,2,5
47,1,0,1,2,3,2,31,39,60,180,1,5
48,1,0,1,2,3,2,69,1,180,300,4,5
49,1,0,1,1,3,1,90,31,60,180,2,5
50,1,0,1,2,3,3,52,16,420,540,4,5
51,1,0,1,1,3,2,83,6,60,180,4,5
52,1,0,1,2,3,4,84,92,60,180,1,5
53,1,0,1,1,3,3,38,24,60,180,2,5
54,1,0,1,1,3,4,54,75,60,180,3,5
55,1,0,1,1,3,4,54,99,60,180,3,5
56,1,0,1,1,3,2,17,22,60,180,1,5
57,1,0,1,2,3,3,56,87,420,540,2,5
58,1,0,1,2,3,1,2,61,300,600,3,5
59,1,0,1,1,3,2,32,70,60,180,2,5
60,1,0,1,1,3,4,3,58,60,180,3,5
61,1,0,1,1,3,1,14,73,60,180,2,5
62,1,0,1,1,3,4,76,77,60,180,3,5
63,1,0,1,2,3,4,72,56,180,300,4,5
64,1,0,1,2,3,2,77,37,180,300,2,5
65,1,0,1,1,3,1,53,76,60,180,4,5
66,1,0,1,1,3,3,73,48,60,180,1,5
67,1,0,1,1,3,4,58,86,60,180,2,5
68,1,0,1,1,3,2,53,88,60,180,3,5
69,1,0,1,1,3,3,54,22,60,180,2,5
70,1,0,1,1,3,1,19,77,60,180,2,5
71,1,0,1,2,3,4,20,26,420,540,2,5
72,1,0,1,1,3,2,65,21,60,180,1,5
73,1,0,1,1,3,4,19,2,60,180,2,5
74,1,0,1,1,3,1,72,15,60,180,4,5
75,1,0,1,1,3,2,33,6,60,180,3,5
76,1,0,1,1,3,4,38,36,60,180,1,5
77,1,0,1,2,3,1,34,28,180,300,3,5
78,1,0,1,2,3,1,78,66,180,300,1,5
79,1,0,1,1,3,3,6,7,60,180,2,5
80,1,0,1,1,3,2,9,37,60,180,2,5
81,1,0,1,1,3,4,71,81,60,180,3,5
82,1,0,1,2,3,1,83,64,60,180,1,5
83,1,0,1,1,3,2,81,85,60,180,1,5
84,1,0,1,2,3,2,49,81,420,540,4,5
85,1,0,1,1,3,2,86,3,60,180,4,5
86,1,0,1,2,3,2,36,73,60,180,4,5
87,1,0,1,1,3,3,41,21,60,180,2,5
88,1,0,1,1,3,1,93,74,60,180,4,5
89,1,0,1,1,3,2,5,50,60,180,3,5
90,1,0,1,2,3,1,28,94,300,600,4,5
91,1,0,1,2,3,2,32,13,60,180,2,5
92,1,0,1,2,3,4,5,86,300,420,2,5
93,1,0,1,1,3,4,82,23,60,180,3,5
94,1,0,1,1,3,1,98,1,60,180,1,5
95,1,0,1,1,3,3,55,16,60,180,3,5
96,1,0,1,2,3,2,68,35,420,540,1,5
97,1,0,1,2,3,3,66,95,0,300,3,5
98,1,0,1,1,3,3,8,66,60,180,3,5
99,1,0,1,2,3,3,1,7,420,540,2,5
100,1,0,1,2,3,1,68,20,60,180,4,5
101,1,0,1,2,3,2,8,61,180,300,2,5
102,1,0,1,2,3,2,40,82,420,540,4,5
103,1,0,1,2,3,3,90,77,300,420,4,5
104,1,0,1,1,3,2,22,85,60,180,2,5
105,1,0,1,2,3,4,52,44,60,180,4,5
106,1,0,1,1,3,4,20,62,60,180,2,5
107,1,0,1,1,3,2,96,35,60,180,3,5
108,1,0,1,2,3,4,89,93,300,420,1,5
109,1,0,1,2,3,3,10,45,180,300,3,5
110,1,0,1,1,3,4,13,28,60,180,3,5
111,1,0,1,2,3,2,93,34,60,180,2,5
112,1,0,1,1,3,3,8,12,60,180,2,5
113,1,0,1,2,3,2,81,14,420,540,3,5
114,1,0,1,1,3,2,95,8,60,180,1,5
115,1,0,1,2,3,1,70,93,180,300,3,5
116,1,0,1,1,3,3,37,97,60,180,2,5
117,1,0,1,1,3,3,99,3,60,180,3,5
118,1,0,1,1,3,2,28,22,60,180,2,5
119,1,0,1,1,3,3,34,23,60,180,4,5
120,1,0,1,2,3,4,29,41,0,300,2,5
121,1,0,1,1,3,2,14,45,60,180,4,5
122,1,0,1,1,3,1,17,97,60,180,2,5
123,1,0,1,1,3,3,30,41,60,180,3,5
124,1,0,1,1,3,2,33,13,60,180,4,5
125,1,0,1,2,3,4,17,84,180,300,4,5
126,1,0,1,1,3,4,37,10,60,180,4,5
127,1,0,1,1,3,2,3,38,60,180,3,5
128,1,0,1,2,3,1,64,76,300,600,1,5
129,1,0,1,1,3,4,89,14,60,180,4,5
130,1,0,1,2,3,1,94,75,300,420,2,5
131,1,0,1,2,3,3,80,10,300,420,4,5
132,1,0,1,1,3,3,85,6,60,180,1,5
133,1,0,1,1,3,3,19,38,60,180,3,5
134,1,0,1,2,3,1,44,38,420,540,1,5
135,1,0,1,1,3,3,15,44,60,180,4,5
136,1,0,1,1,3,2,67,57,60,180,2,5
137,1,0,1,2,3,3,52,30,0,300,4,5
138,1,0,1,2,3,3,41,28,0,300,3,5
139,1,0,1,1,3,2,63,6,60,180,1,5
140,1,0,1,1,3,2,64,32,60,180,3,5
141,1,0,1,1,3,4,47,65,60,180,1,5
142,1,0,1,1,3,4,30,77,60,180,4,5
143,1,0,1,2,3,4,66,11,60,180,4,5
144,1,0,1,2,3,4,67,32,60,180,1,5
145,1,0,1,1,3,3,70,13,60,180,4,5
146,1,0,1,2,3,4,73,50,0,300,2,5
147,1,0,1,1,3,3,97,77,60,180,4,5
148,1,0,1,1,3,4,63,59,60,180,2,5
149,1,0,1,1,3,4,21,29,60,180,2,5
150,1,0,1,1,3,1,55,78,60,180,1,5
151,1,0,1,2,3,1,86,68,60,180,3,5
152,1,0,1,1,3,4,45,20,60,180,2,5
153,1,0,1,1,3,1,97,67,60,180,3,5
154,1,0,1,2,3,3,90,36,300,600,4,5
155,1,0,1,1,3,1,71,40,60,180,1,5
156,1,0,1,2,3,3,2,53,180,300,1,5
157,1,0,1,1,3,1,10,96,60,180,3,5
158,1,0,1,2,3,3,14,67,420,540,3,5
159,1,0,1,1,3,1,85,44,60,180,1,5
160,1,0,1,1,3,3,25,34,60,180,2,5
161,1,0,1,1,3,2,68,26,60,180,4,5
