Order,Day-Order,Time-Order,Day-Ops,Service,Type,Origin,X,Y,Early,Latest,Demand,Service Time 
,,,,,0,1,50,100,,,,0
,,,,,1,1,27,36,,,,15
,,,,,1,1,60,24,,,,15
,,,,,0,2,50,100,,,,0
,,,,,1,2,53,67,,,,15
,,,,,1,2,22,33,,,,15
,,,,,0,3,50,100,,,,0
,,,,,1,3,39,54,,,,15
,,,,,1,3,60,56,,,,15
,,,,,0,4,50,100,,,,0
,,,,,1,4,26,45,,,,15
,,,,,1,4,50,68,,,,15
1,1,0,1,2,3,4,44,15,420,540,2,5
2,1,0,1,1,3,4,46,2,60,180,1,5
3,1,0,1,2,3,1,96,11,180,300,2,5
4,1,0,1,2,3,4,73,82,60,180,4,5
5,1,0,1,1,3,2,9,46,60,180,1,5
6,1,0,1,2,3,1,87,87,60,180,2,5
7,1,0,1,2,3,4,22,9,60,180,2,5
8,1,0,1,2,3,3,79,28,300,420,1,5
9,1,0,1,2,3,4,86,21,300,420,4,5
10,1,0,1,2,3,2,44,62,180,300,3,5
11,1,0,1,2,3,2,14,99,420,540,4,5
12,1,0,1,2,3,2,27,19,420,540,2,5
13,1,0,1,2,3,2,84,94,60,180,3,5
14,1,0,1,1,3,4,45,11,60,180,3,5
15,1,0,1,1,3,2,24,37,60,180,3,5
16,1,0,1,2,3,4,22,97,300,600,2,5
17,1,0,1,1,3,2,62,21,60,180,2,5
18,1,0,1,2,3,3,21,21,300,420,4,5
19,1,0,1,2,3,1,64,23,60,180,3,5
20,1,0,1,2,3,3,0,50,60,180,1,5
21,1,0,1,2,3,4,22,77,0,300,4,5
22,1,0,1,2,3,3,48,75,180,300,1,5
23,1,0,1,2,3,3,11,68,420,540,1,5
24,1,0,1,2,3,3,59,15,420,540,4,5
25,1,0,1,2,3,2,41,61,60,180,4,5
26,1,0,1,1,3,2,91,50,60,180,2,5
27,1,0,1,2,3,1,41,83,0,300,4,5
28,1,0,1,2,3,1,41,35,300,600,4,5
29,1,0,1,2,3,1,70,22,0,300,1,5
30,1,0,1,2,3,2,86,27,180,300,2,5
31,1,0,1,2,3,2,45,5,180,300,1,5
32,1,0,1,1,3,4,5,45,60,180,3,5
33,1,0,1,2,3,3,10,71,60,180,1,5
34,1,0,1,2,3,3,14,25,60,180,1,5
35,1,0,1,1,3,1,100,7,60,180,2,5
36,1,0,1,2,3,3,35,39,300,420,3,5
37,1,0,1,2,3,2,65,62,0,300,4,5
38,1,0,1,1,3,1,22,28,60,180,3,5
39,1,0,1,2,3,4,33,22,300,420,3,5
40,1,0,1,1,3,1,56,62,60,180,4,5
41,1,0,1,2,3,4,1,14,300,420,1,5
42,1,0,1,2,3,2,3,6,300,420,2,5
43,1,0,1,2,3,4,58,90,180,300,1,5
44,1,0,1,1,3,3,88,90,60,180,4,5
45,1,0,1,2,3,4,85,18,300,600,3,5
46,1,0,1,2,3,4,80,54,300,420,3,5
47,1,0,1,2,3,3,19,52,60,180,2,5
48,1,0,1,1,3,1,72,55,60,180,4,5
49,1,0,1,2,3,2,84,75,420,540,3,5
50,1,0,1,1,3,4,25,93,60,180,4,5
51,1,0,1,2,3,2,19,44,0,300,3,5
52,1,0,1,2,3,3,55,74,300,420,2,5
53,1,0,1,2,3,3,59,94,60,180,2,5
54,1,0,1,2,3,4,55,70,180,300,2,5
55,1,0,1,1,3,4,44,87,60,180,3,5
56,1,0,1,2,3,4,58,39,60,180,3,5
57,1,0,1,1,3,1,16,19,60,180,1,5
58,1,0,1,1,3,2,61,45,60,180,2,5
59,1,0,1,2,3,3,87,83,60,180,4,5
60,1,0,1,2,3,2,5,94,60,180,4,5
61,1,0,1,2,3,1,89,6,300,600,2,5
62,1,0,1,1,3,4,86,2,60,180,1,5
63,1,0,1,2,3,1,62,97,420,540,4,5
64,1,0,1,2,3,4,28,3,180,300,2,5
65,1,0,1,1,3,4,100,43,60,180,1,5
66,1,0,1,2,3,1,10,48,60,180,4,5
67,1,0,1,1,3,2,51,30,60,180,3,5
68,1,0,1,2,3,1,59,67,0,300,3,5
69,1,0,1,2,3,1,75,98,180,300,4,5
70,1,0,1,2,3,2,24,69,300,600,3,5
71,1,0,1,2,3,2,79,96,0,300,4,5
72,1,0,1,1,3,1,30,78,60,180,2,5
73,1,0,1,2,3,1,99,47,180,300,3,5
74,1,0,1,1,3,2,52,18,60,180,2,5
75,1,0,1,2,3,2,2,9,180,300,2,5
76,1,0,1,2,3,1,3,29,300,420,1,5
77,1,0,1,1,3,2,86,65,60,180,1,5
78,1,0,1,2,3,1,22,45,300,420,1,5
79,1,0,1,2,3,4,68,2,180,300,2,5
80,1,0,1,2,3,4,0,1,0,300,1,5
81,1,0,1,2,3,2,77,26,60,180,3,5
82,1,0,1,1,3,1,76,82,60,180,4,5
83,1,0,1,2,3,1,24,78,60,180,2,5
84,1,0,1,2,3,2,34,70,420,540,2,5
85,1,0,1,2,3,2,69,17,60,180,1,5
86,1,0,1,2,3,4,13,34,300,420,3,5
87,1,0,1,2,3,2,53,68,300,420,2,5
88,1,0,1,2,3,2,42,89,300,600,2,5
89,1,0,1,2,3,2,79,60,60,180,4,5
90,1,0,1,2,3,3,94,59,420,540,1,5
91,1,0,1,2,3,4,25,39,180,300,4,5
92,1,0,1,2,3,2,60,5,60,180,4,5
93,1,0,1,2,3,3,29,38,300,420,3,5
94,1,0,1,2,3,3,28,92,300,420,1,5
95,1,0,1,2,3,1,92,75,300,420,2,5
96,1,0,1,2,3,3,58,18,300,420,4,5
97,1,0,1,2,3,3,89,75,60,180,1,5
98,1,0,1,2,3,3,93,90,180,300,3,5
99,1,0,1,1,3,1,78,42,60,180,3,5
100,1,0,1,2,3,4,72,85,0,300,3,5
101,1,0,1,2,3,3,26,81,180,300,3,5
102,1,0,1,2,3,1,1,93,420,540,1,5
103,1,0,1,1,3,1,1,66,60,180,4,5
104,1,0,1,1,3,3,76,86,60,180,2,5
105,1,0,1,1,3,2,52,82,60,180,1,5
106,1,0,1,2,3,3,81,16,180,300,1,5
107,1,0,1,2,3,3,27,73,300,420,1,5
108,1,0,1,2,3,1,16,85,180,300,2,5
109,1,0,1,1,3,1,42,97,60,180,2,5
110,1,0,1,1,3,3,91,83,60,180,3,5
111,1,0,1,2,3,3,11,0,60,180,1,5
112,1,0,1,2,3,1,23,18,60,180,4,5
113,1,0,1,2,3,1,59,99,300,600,3,5
114,1,0,1,1,3,4,32,62,60,180,3,5
115,1,0,1,2,3,3,86,23,60,180,1,5
116,1,0,1,2,3,3,27,84,420,540,2,5
117,1,0,1,2,3,1,17,34,0,300,3,5
118,1,0,1,1,3,3,51,6,60,180,4,5
119,1,0,1,2,3,3,71,85,420,540,2,5
120,1,0,1,2,3,1,72,87,60,180,3,5
121,1,0,1,1,3,3,98,85,60,180,3,5
122,1,0,1,2,3,1,98,76,180,300,4,5
123,1,0,1,1,3,3,86,93,60,180,4,5
124,1,0,1,2,3,4,38,99,420,540,4,5
125,1,0,1,2,3,1,39,19,0,300,2,5
126,1,0,1,2,3,3,87,20,180,300,4,5
127,1,0,1,2,3,3,48,24,60,180,1,5
128,1,0,1,2,3,2,32,56,300,600,3,5
129,1,0,1,2,3,4,88,9,300,600,4,5
130,1,0,1,1,3,1,68,14,60,180,2,5
131,1,0,1,1,3,1,72,6,60,180,1,5
132,1,0,1,1,3,1,49,29,60,180,4,5
133,1,0,1,2,3,3,90,14,0,300,2,5
134,1,0,1,2,3,4,2,32,180,300,2,5
135,1,0,1,1,3,2,77,66,60,180,3,5
136,1,0,1,1,3,2,66,84,60,180,4,5
137,1,0,1,2,3,3,2,16,420,540,4,5
138,1,0,1,2,3,2,44,39,180,300,4,5
139,1,0,1,1,3,2,17,78,60,180,4,5
140,1,0,1,1,3,2,83,15,60,180,1,5
141,1,0,1,2,3,4,83,77,0,300,1,5
142,1,0,1,2,3,1,73,9,300,420,2,5
143,1,0,1,2,3,4,26,93,300,420,3,5
144,1,0,1,1,3,4,92,19,60,180,1,5
145,1,0,1,1,3,4,60,35,60,180,3,5
146,1,0,1,2,3,1,51,50,420,540,3,5
147,1,0,1,2,3,2,26,10,60,180,3,5
148,1,0,1,2,3,4,74,34,300,420,1,5
149,1,0,1,1,3,2,5,54,60,180,4,5
150,1,0,1,2,3,4,16,21,180,300,1,5
151,1,0,1,1,3,3,48,11,60,180,1,5
152,1,0,1,2,3,1,1,27,60,180,2,5
153,1,0,1,2,3,4,15,2,300,420,4,5
154,1,0,1,2,3,1,60,69,300,600,1,5
155,1,0,1,2,3,1,44,5,180,300,2,5
156,1,0,1,2,3,1,96,72,420,540,2,5
157,1,0,1,1,3,3,14,82,60,180,1,5
158,1,0,1,2,3,2,98,23,420,540,4,5
159,1,0,1,2,3,2,36,24,180,300,2,5
160,1,0,1,2,3,2,4,24,420,540,1,5
161,1,0,1,2,3,1,40,92,60,180,1,5
