Order,Day-Order,Time-Order,Day-Ops,Service,Type,Origin,X,Y,Early,Latest,Demand,Service Time 
,,,,,0,1,50,100,,,,0
,,,,,1,1,27,36,,,,15
,,,,,1,1,60,24,,,,15
,,,,,0,2,50,100,,,,0
,,,,,1,2,53,67,,,,15
,,,,,1,2,22,33,,,,15
1,1,0,1,2,3,2,24,35,60,180,2,5
2,1,0,1,1,3,1,76,22,60,180,4,5
3,1,0,1,2,3,1,49,74,300,600,4,5
4,1,0,1,2,3,1,49,8,0,300,4,5
5,1,0,1,2,3,2,12,61,420,540,3,5
6,1,0,1,2,3,1,49,68,300,600,3,5
7,1,0,1,1,3,1,18,59,60,180,1,5
8,1,0,1,1,3,1,67,51,60,180,3,5
9,1,0,1,2,3,2,76,20,180,300,3,5
10,1,0,1,2,3,2,81,86,420,540,1,5
11,1,0,1,2,3,1,60,59,180,300,4,5
12,1,0,1,2,3,1,86,93,300,420,4,5
13,1,0,1,1,3,1,8,44,60,180,2,5
14,1,0,1,2,3,2,98,47,180,300,1,5
15,1,0,1,1,3,1,28,71,60,180,2,5
16,1,0,1,1,3,1,23,39,60,180,1,5
17,1,0,1,2,3,2,27,40,300,420,4,5
18,1,0,1,1,3,1,65,68,60,180,3,5
19,1,0,1,2,3,1,13,94,420,540,1,5
20,1,0,1,2,3,2,86,65,300,600,3,5
21,1,0,1,2,3,1,32,64,420,540,3,5
22,1,0,1,2,3,2,30,45,300,420,2,5
23,1,0,1,2,3,1,19,25,300,420,1,5
24,1,0,1,1,3,1,37,35,60,180,4,5
25,1,0,1,2,3,2,100,62,0,300,1,5
26,1,0,1,1,3,1,38,7,60,180,3,5
27,1,0,1,2,3,2,22,77,0,300,3,5
28,1,0,1,1,3,1,81,92,60,180,2,5
29,1,0,1,2,3,2,69,61,180,300,1,5
30,1,0,1,2,3,2,88,26,300,600,2,5
31,1,0,1,2,3,1,47,24,300,600,3,5
32,1,0,1,2,3,1,90,69,180,300,4,5
33,1,0,1,1,3,1,41,60,60,180,1,5
34,1,0,1,2,3,1,75,42,300,420,2,5
35,1,0,1,2,3,2,98,5,420,540,2,5
36,1,0,1,2,3,1,18,80,60,180,1,5
37,1,0,1,2,3,2,11,2,420,540,3,5
38,1,0,1,1,3,2,100,97,60,180,1,5
39,1,0,1,2,3,1,72,65,420,540,3,5
40,1,0,1,2,3,2,94,44,60,180,1,5
41,1,0,1,1,3,2,78,88,60,180,1,5
42,1,0,1,1,3,1,21,82,60,180,4,5
43,1,0,1,2,3,1,7,20,180,300,1,5
44,1,0,1,1,3,2,59,68,60,180,3,5
45,1,0,1,1,3,2,34,59,60,180,3,5
46,1,0,1,1,3,1,90,68,60,180,1,5
47,1,0,1,2,3,2,62,50,180,300,2,5
48,1,0,1,1,3,1,56,20,60,180,1,5
49,1,0,1,2,3,1,39,75,300,420,3,5
50,1,0,1,2,3,1,59,34,60,180,1,5
51,1,0,1,2,3,2,88,78,180,300,1,5
52,1,0,1,1,3,1,76,81,60,180,3,5
53,1,0,1,2,3,2,57,28,60,180,4,5
54,1,0,1,2,3,1,95,41,0,300,1,5
55,1,0,1,2,3,1,74,43,0,300,3,5
56,1,0,1,1,3,2,90,66,60,180,4,5
57,1,0,1,2,3,2,58,19,60,180,2,5
58,1,0,1,2,3,2,17,19,300,600,2,5
59,1,0,1,2,3,2,52,86,300,420,2,5
60,1,0,1,2,3,2,12,17,420,540,1,5
61,1,0,1,2,3,1,0,88,180,300,1,5
62,1,0,1,1,3,2,12,90,60,180,2,5
63,1,0,1,2,3,2,39,90,0,300,2,5
64,1,0,1,2,3,2,70,43,0,300,1,5
65,1,0,1,1,3,1,36,74,60,180,1,5
66,1,0,1,1,3,1,46,41,60,180,4,5
67,1,0,1,2,3,1,93,77,0,300,3,5
68,1,0,1,2,3,2,87,53,420,540,3,5
69,1,0,1,1,3,1,75,61,60,180,2,5
70,1,0,1,2,3,2,50,15,60,180,2,5
71,1,0,1,2,3,1,80,17,180,300,1,5
72,1,0,1,2,3,2,14,93,60,180,4,5
73,1,0,1,1,3,2,40,37,60,180,2,5
74,1,0,1,2,3,2,10,81,180,300,4,5
75,1,0,1,1,3,1,34,48,60,180,1,5
76,1,0,1,2,3,1,14,24,180,300,4,5
77,1,0,1,2,3,1,21,92,0,300,1,5
78,1,0,1,2,3,2,5,96,300,420,3,5
79,1,0,1,1,3,1,82,48,60,180,2,5
80,1,0,1,1,3,1,81,51,60,180,2,5
81,1,0,1,1,3,2,2,61,60,180,3,5
82,1,0,1,2,3,1,47,6,300,420,3,5
83,1,0,1,1,3,2,9,12,60,180,4,5
84,1,0,1,1,3,1,97,77,60,180,1,5
85,1,0,1,2,3,1,21,6,180,300,2,5
86,1,0,1,2,3,1,54,56,300,600,2,5
87,1,0,1,2,3,1,65,57,420,540,2,5
88,1,0,1,1,3,2,83,29,60,180,3,5
89,1,0,1,2,3,2,64,37,0,300,3,5
90,1,0,1,2,3,2,32,64,300,420,4,5
91,1,0,1,2,3,1,50,31,60,180,1,5
92,1,0,1,2,3,2,64,12,180,300,1,5
93,1,0,1,2,3,2,48,51,60,180,2,5
94,1,0,1,2,3,1,49,6,0,300,2,5
95,1,0,1,2,3,2,93,65,180,300,1,5
96,1,0,1,2,3,2,56,62,180,300,4,5
97,1,0,1,2,3,2,75,77,180,300,3,5
98,1,0,1,1,3,2,19,26,60,180,4,5
99,1,0,1,2,3,1,31,69,420,540,4,5
100,1,0,1,2,3,2,22,61,0,300,1,5
101,1,0,1,2,3,2,91,5,420,540,4,5
102,1,0,1,2,3,1,95,71,420,540,3,5
103,1,0,1,1,3,2,15,75,60,180,4,5
104,1,0,1,2,3,1,56,72,300,420,3,5
105,1,0,1,2,3,2,57,30,0,300,1,5
106,1,0,1,2,3,1,5,12,420,540,2,5
107,1,0,1,1,3,2,36,43,60,180,1,5
108,1,0,1,2,3,2,67,8,60,180,1,5
109,1,0,1,2,3,2,72,3,180,300,2,5
110,1,0,1,2,3,2,63,7,420,540,2,5
111,1,0,1,1,3,2,97,75,60,180,3,5
112,1,0,1,2,3,1,60,44,300,600,3,5
113,1,0,1,1,3,2,98,47,60,180,2,5
114,1,0,1,1,3,1,54,71,60,180,2,5
115,1,0,1,2,3,1,76,35,60,180,1,5
116,1,0,1,1,3,1,52,79,60,180,3,5
117,1,0,1,2,3,2,11,52,0,300,3,5
118,1,0,1,1,3,2,72,74,60,180,3,5
119,1,0,1,2,3,1,38,66,0,300,4,5
120,1,600,2,2,3,1,12,72,0,300,2,5
121,1,462,2,1,3,2,18,9,0,300,3,5
122,1,183,2,2,3,2,20,72,180,300,3,5
123,1,423,2,2,3,1,81,49,420,540,2,5
124,1,351,2,2,3,2,34,70,0,300,1,5
125,1,292,2,1,3,1,94,55,180,300,1,5
126,1,86,2,2,3,2,84,99,420,540,3,5
127,1,145,2,2,3,2,68,70,60,180,2,5
128,1,74,2,2,3,1,69,46,300,600,2,5
129,1,467,2,2,3,2,30,17,60,180,4,5
130,1,598,2,2,3,1,29,55,60,180,3,5
131,1,586,2,1,3,1,84,61,60,180,4,5
132,1,217,2,2,3,1,7,12,300,420,1,5
133,1,424,2,2,3,1,67,59,300,600,2,5
134,1,243,2,2,3,1,95,48,60,180,3,5
135,1,241,2,2,3,2,86,89,420,540,3,5
136,1,9,2,2,3,2,48,8,60,180,3,5
137,1,529,2,1,3,2,53,45,180,300,4,5
138,1,447,2,2,3,2,77,44,60,180,4,5
139,1,211,2,1,3,1,12,60,180,300,2,5
140,1,190,2,1,3,2,95,95,60,180,2,5
141,1,549,2,2,3,2,66,96,300,600,2,5
142,1,10,2,1,3,2,84,70,60,180,4,5
143,1,264,2,2,3,1,61,25,300,420,2,5
144,1,524,2,1,3,1,61,34,60,180,1,5
145,1,101,2,2,3,2,32,36,0,300,1,5
146,1,533,2,2,3,1,7,54,0,300,3,5
147,1,568,2,1,3,1,7,57,60,180,1,5
148,1,586,2,1,3,2,39,25,0,300,4,5
149,1,117,2,1,3,1,12,17,180,300,4,5
150,1,99,2,2,3,2,22,8,180,300,1,5
151,13,336,13,2,3,1,35,32,420,540,4,5
152,6,137,7,1,3,2,36,44,180,300,3,5
153,4,160,5,2,3,2,57,78,0,300,2,5
154,8,545,9,1,3,1,99,12,60,180,1,5
155,5,519,6,2,3,1,87,49,300,420,3,5
156,5,68,5,2,3,2,49,9,420,540,3,5
157,1,290,1,2,3,2,10,17,420,540,4,5
158,8,471,9,2,3,1,2,24,180,300,3,5
159,4,63,4,1,3,2,50,95,180,300,4,5
160,2,473,4,2,3,2,91,85,300,420,2,5
161,9,281,10,2,3,2,18,84,300,600,1,5
162,6,108,7,2,3,1,57,85,420,540,2,5
163,13,68,14,1,3,1,80,73,60,180,2,5
164,11,517,12,2,3,1,69,3,420,540,4,5
165,3,266,3,2,3,1,38,12,420,540,3,5
