Order,Day-Order,Time-Order,Day-Ops,Service,Type,Origin,X,Y,Early,Latest,Demand,Service Time 
,,,,,0,1,50,100,,,,0
,,,,,1,1,27,36,,,,15
,,,,,1,1,60,24,,,,15
,,,,,0,2,50,100,,,,0
,,,,,1,2,53,67,,,,15
,,,,,1,2,22,33,,,,15
,,,,,0,3,50,100,,,,0
,,,,,1,3,39,54,,,,15
,,,,,1,3,60,56,,,,15
,,,,,0,4,50,100,,,,0
,,,,,1,4,26,45,,,,15
,,,,,1,4,50,68,,,,15
1,1,0,1,2,3,3,3,74,0,300,3,5
2,1,0,1,2,3,3,71,12,300,600,2,5
3,1,0,1,1,3,3,96,60,60,180,3,5
4,1,0,1,1,3,3,51,21,60,180,1,5
5,1,0,1,1,3,4,42,88,60,180,2,5
6,1,0,1,1,3,3,3,49,60,180,4,5
7,1,0,1,2,3,1,65,25,60,180,1,5
8,1,0,1,2,3,3,66,36,0,300,4,5
9,1,0,1,1,3,3,64,95,60,180,4,5
10,1,0,1,2,3,4,0,80,60,180,1,5
11,1,0,1,2,3,1,96,90,420,540,3,5
12,1,0,1,1,3,4,39,72,60,180,4,5
13,1,0,1,2,3,1,53,38,300,600,3,5
14,1,0,1,1,3,4,61,70,60,180,2,5
15,1,0,1,2,3,2,52,31,0,300,3,5
16,1,0,1,1,3,3,23,84,60,180,4,5
17,1,0,1,1,3,1,60,9,60,180,3,5
18,1,0,1,1,3,3,71,43,60,180,3,5
19,1,0,1,1,3,2,60,92,60,180,2,5
20,1,0,1,2,3,3,0,85,300,420,4,5
21,1,0,1,1,3,3,45,72,60,180,1,5
22,1,0,1,2,3,1,62,39,180,300,2,5
23,1,0,1,1,3,2,56,37,60,180,4,5
24,1,0,1,2,3,2,23,13,420,540,1,5
25,1,0,1,1,3,3,72,37,60,180,3,5
26,1,0,1,1,3,1,62,51,60,180,1,5
27,1,0,1,1,3,1,58,38,60,180,2,5
28,1,0,1,1,3,3,44,1,60,180,2,5
29,1,0,1,1,3,3,24,55,60,180,3,5
30,1,0,1,1,3,4,48,84,60,180,3,5
31,1,0,1,1,3,1,61,25,60,180,2,5
32,1,0,1,2,3,4,13,22,420,540,1,5
33,1,0,1,1,3,1,9,26,60,180,4,5
34,1,0,1,1,3,2,60,86,60,180,4,5
35,1,0,1,1,3,2,75,13,60,180,2,5
36,1,0,1,1,3,4,81,35,60,180,4,5
37,1,0,1,2,3,4,55,66,0,300,2,5
38,1,0,1,1,3,3,13,85,60,180,1,5
39,1,0,1,1,3,2,66,5,60,180,3,5
40,1,0,1,1,3,4,34,46,60,180,4,5
41,1,0,1,2,3,4,91,66,420,540,3,5
42,1,0,1,2,3,2,19,91,300,420,1,5
43,1,0,1,1,3,1,88,51,60,180,1,5
44,1,0,1,2,3,2,47,72,60,180,4,5
45,1,0,1,1,3,2,55,71,60,180,2,5
46,1,0,1,1,3,4,56,23,60,180,2,5
47,1,0,1,1,3,1,18,81,60,180,3,5
48,1,0,1,2,3,1,9,32,180,300,4,5
49,1,0,1,1,3,1,23,61,60,180,4,5
50,1,0,1,1,3,4,24,54,60,180,3,5
51,1,0,1,1,3,3,15,46,60,180,3,5
52,1,0,1,1,3,4,12,62,60,180,4,5
53,1,0,1,1,3,1,38,75,60,180,2,5
54,1,0,1,1,3,2,45,1,60,180,2,5
55,1,0,1,2,3,1,44,63,420,540,2,5
56,1,0,1,2,3,3,81,87,420,540,3,5
57,1,0,1,1,3,1,62,48,60,180,3,5
58,1,0,1,1,3,2,83,62,60,180,3,5
59,1,0,1,1,3,2,77,50,60,180,3,5
60,1,0,1,1,3,1,32,9,60,180,3,5
61,1,0,1,2,3,3,27,32,180,300,2,5
62,1,0,1,1,3,1,36,70,60,180,3,5
63,1,0,1,2,3,3,16,61,60,180,3,5
64,1,0,1,2,3,4,78,44,420,540,2,5
65,1,0,1,1,3,4,74,39,60,180,4,5
66,1,0,1,1,3,2,63,16,60,180,1,5
67,1,0,1,1,3,1,11,13,60,180,4,5
68,1,0,1,2,3,1,25,9,60,180,4,5
69,1,0,1,2,3,2,53,88,0,300,2,5
70,1,0,1,2,3,3,99,43,180,300,1,5
71,1,0,1,1,3,4,46,79,60,180,1,5
72,1,0,1,1,3,2,17,9,60,180,2,5
73,1,0,1,1,3,1,38,47,60,180,3,5
74,1,0,1,1,3,4,68,13,60,180,3,5
75,1,0,1,2,3,2,10,50,60,180,1,5
76,1,0,1,2,3,4,80,90,60,180,3,5
77,1,0,1,1,3,2,7,69,60,180,2,5
78,1,0,1,2,3,3,32,48,300,420,1,5
79,1,0,1,2,3,4,59,56,300,600,1,5
80,1,0,1,2,3,3,90,28,420,540,4,5
81,1,0,1,1,3,4,4,76,60,180,3,5
82,1,0,1,1,3,2,76,6,60,180,1,5
83,1,0,1,1,3,3,3,95,60,180,2,5
84,1,0,1,1,3,2,95,5,60,180,3,5
85,1,0,1,1,3,2,15,10,60,180,3,5
86,1,0,1,2,3,4,52,69,300,420,1,5
87,1,0,1,2,3,1,27,31,0,300,2,5
88,1,0,1,2,3,4,22,10,0,300,4,5
89,1,0,1,1,3,3,92,7,60,180,2,5
90,1,0,1,1,3,3,38,7,60,180,4,5
91,1,0,1,1,3,2,43,83,60,180,2,5
92,1,0,1,2,3,1,75,42,420,540,2,5
93,1,0,1,2,3,2,44,27,180,300,3,5
94,1,0,1,2,3,2,0,14,420,540,1,5
95,1,0,1,1,3,2,13,57,60,180,4,5
96,1,0,1,2,3,4,64,34,300,600,4,5
97,1,0,1,1,3,3,12,79,60,180,4,5
98,1,0,1,1,3,2,51,34,60,180,3,5
99,1,0,1,2,3,3,12,75,420,540,1,5
100,1,0,1,1,3,4,56,15,60,180,1,5
101,1,0,1,2,3,2,65,59,180,300,1,5
102,1,0,1,1,3,2,51,75,60,180,3,5
103,1,0,1,1,3,4,32,38,60,180,1,5
104,1,0,1,2,3,3,45,28,0,300,3,5
105,1,0,1,1,3,1,59,34,60,180,3,5
106,1,0,1,2,3,4,90,42,0,300,2,5
107,1,0,1,2,3,3,0,95,300,600,3,5
108,1,0,1,1,3,3,14,2,60,180,3,5
109,1,0,1,1,3,3,2,3,60,180,2,5
110,1,0,1,2,3,2,42,15,0,300,3,5
111,1,0,1,1,3,4,89,47,60,180,4,5
112,1,0,1,1,3,4,41,74,60,180,4,5
113,1,0,1,1,3,3,98,54,60,180,3,5
114,1,0,1,2,3,1,86,31,420,540,2,5
115,1,0,1,1,3,4,92,69,60,180,1,5
116,1,0,1,1,3,2,90,31,60,180,3,5
117,1,0,1,1,3,1,53,29,60,180,2,5
118,1,0,1,1,3,2,37,59,60,180,2,5
119,1,0,1,1,3,1,77,55,60,180,4,5
120,1,0,1,2,3,3,52,39,0,300,2,5
121,1,0,1,2,3,3,60,57,420,540,2,5
122,1,0,1,1,3,1,13,51,60,180,1,5
123,1,0,1,2,3,3,12,1,420,540,1,5
124,1,0,1,1,3,1,67,74,60,180,2,5
125,1,0,1,1,3,1,61,81,60,180,4,5
126,1,0,1,1,3,4,35,59,60,180,3,5
127,1,0,1,1,3,3,68,81,60,180,4,5
128,1,0,1,1,3,1,43,78,60,180,4,5
129,1,0,1,1,3,2,65,69,60,180,2,5
130,1,0,1,1,3,1,22,19,60,180,3,5
131,1,0,1,2,3,1,78,35,420,540,3,5
132,1,0,1,1,3,3,72,77,60,180,4,5
133,1,0,1,2,3,3,78,44,60,180,3,5
134,1,0,1,1,3,4,75,22,60,180,1,5
135,1,0,1,1,3,1,6,69,60,180,3,5
136,1,0,1,2,3,1,11,3,420,540,2,5
137,1,0,1,1,3,2,34,18,60,180,1,5
138,1,0,1,1,3,2,13,11,60,180,1,5
139,1,0,1,1,3,3,74,34,60,180,2,5
140,1,0,1,1,3,1,50,50,60,180,1,5
141,1,0,1,1,3,3,31,89,60,180,2,5
142,1,0,1,1,3,2,1,82,60,180,2,5
143,1,0,1,1,3,3,42,57,60,180,4,5
144,1,0,1,1,3,1,28,61,60,180,2,5
145,1,0,1,2,3,2,23,33,60,180,1,5
146,1,0,1,1,3,1,83,66,60,180,2,5
147,1,0,1,1,3,1,63,33,60,180,2,5
148,1,0,1,1,3,1,32,61,60,180,4,5
149,1,0,1,2,3,2,33,59,60,180,1,5
150,1,0,1,2,3,4,65,81,180,300,2,5
151,1,0,1,1,3,3,38,69,60,180,2,5
152,1,0,1,2,3,1,43,65,60,180,3,5
153,1,0,1,1,3,4,90,75,60,180,2,5
154,1,0,1,2,3,1,60,8,300,420,3,5
155,1,0,1,1,3,2,84,25,60,180,2,5
156,1,0,1,2,3,3,10,33,0,300,3,5
157,1,0,1,2,3,2,11,91,180,300,3,5
158,1,0,1,2,3,2,67,94,420,540,4,5
159,1,0,1,1,3,2,23,21,60,180,2,5
160,1,0,1,2,3,1,36,52,180,300,3,5
161,1,0,1,1,3,3,19,51,60,180,1,5
