Order,Day-Order,Time-Order,Day-Ops,Service,Type,Origin,X,Y,Early,Latest,Demand,Service Time 
,,,,,0,1,50,100,,,,0
,,,,,1,1,27,36,,,,15
,,,,,1,1,60,24,,,,15
,,,,,0,2,50,100,,,,0
,,,,,1,2,53,67,,,,15
,,,,,1,2,22,33,,,,15
,,,,,0,3,50,100,,,,0
,,,,,1,3,39,54,,,,15
,,,,,1,3,60,56,,,,15
,,,,,0,4,50,100,,,,0
,,,,,1,4,26,45,,,,15
,,,,,1,4,50,68,,,,15
1,1,0,1,1,3,4,20,100,60,180,4,5
2,1,0,1,1,3,4,14,92,60,180,4,5
3,1,0,1,1,3,3,99,44,60,180,1,5
4,1,0,1,1,3,1,77,89,60,180,1,5
5,1,0,1,1,3,2,81,54,60,180,2,5
6,1,0,1,1,3,4,41,52,60,180,2,5
7,1,0,1,1,3,1,84,73,60,180,1,5
8,1,0,1,1,3,2,39,64,60,180,2,5
9,1,0,1,1,3,4,18,1,60,180,3,5
10,1,0,1,1,3,4,83,25,60,180,2,5
11,1,0,1,1,3,2,36,76,60,180,3,5
12,1,0,1,1,3,4,25,45,60,180,3,5
13,1,0,1,1,3,3,88,28,60,180,4,5
14,1,0,1,1,3,4,7,97,60,180,2,5
15,1,0,1,1,3,2,77,69,60,180,3,5
16,1,0,1,1,3,4,79,2,60,180,4,5
17,1,0,1,1,3,2,87,56,60,180,1,5
18,1,0,1,1,3,2,1,16,60,180,3,5
19,1,0,1,1,3,3,7,90,60,180,3,5
20,1,0,1,1,3,2,22,14,60,180,3,5
21,1,0,1,1,3,1,84,49,60,180,2,5
22,1,0,1,1,3,2,8,17,60,180,1,5
23,1,0,1,1,3,4,82,93,60,180,4,5
24,1,0,1,1,3,4,3,77,60,180,1,5
25,1,0,1,1,3,3,80,22,60,180,1,5
26,1,0,1,1,3,4,6,25,60,180,1,5
27,1,0,1,1,3,2,56,10,60,180,1,5
28,1,0,1,1,3,2,20,58,60,180,3,5
29,1,0,1,2,3,3,72,84,60,180,2,5
30,1,0,1,1,3,3,38,70,60,180,1,5
31,1,0,1,1,3,3,5,95,60,180,4,5
32,1,0,1,1,3,3,70,64,60,180,3,5
33,1,0,1,1,3,3,67,63,60,180,2,5
34,1,0,1,1,3,2,23,63,60,180,1,5
35,1,0,1,1,3,2,4,5,60,180,4,5
36,1,0,1,1,3,3,17,99,60,180,1,5
37,1,0,1,1,3,1,91,17,60,180,2,5
38,1,0,1,1,3,4,83,6,60,180,4,5
39,1,0,1,2,3,4,55,8,0,300,3,5
40,1,0,1,1,3,2,15,24,60,180,2,5
41,1,0,1,1,3,4,90,22,60,180,4,5
42,1,0,1,1,3,2,51,11,60,180,4,5
43,1,0,1,1,3,2,41,80,60,180,4,5
44,1,0,1,2,3,3,9,20,180,300,4,5
45,1,0,1,1,3,3,5,28,60,180,4,5
46,1,0,1,1,3,3,53,91,60,180,1,5
47,1,0,1,1,3,3,65,13,60,180,2,5
48,1,0,1,1,3,4,100,20,60,180,4,5
49,1,0,1,1,3,4,48,49,60,180,3,5
50,1,0,1,1,3,4,78,53,60,180,2,5
51,1,0,1,1,3,3,5,23,60,180,3,5
52,1,0,1,1,3,4,22,47,60,180,1,5
53,1,0,1,1,3,4,36,80,60,180,4,5
54,1,0,1,1,3,3,28,73,60,180,1,5
55,1,0,1,1,3,2,10,10,60,180,3,5
56,1,0,1,1,3,2,66,94,60,180,1,5
57,1,0,1,1,3,4,3,36,60,180,1,5
58,1,0,1,1,3,2,76,77,60,180,4,5
59,1,0,1,1,3,2,23,11,60,180,3,5
60,1,0,1,1,3,3,1,48,60,180,3,5
61,1,0,1,1,3,4,79,38,60,180,1,5
62,1,0,1,1,3,3,94,35,60,180,4,5
63,1,0,1,1,3,1,64,17,60,180,4,5
64,1,0,1,1,3,2,75,45,60,180,2,5
65,1,0,1,1,3,3,46,38,60,180,4,5
66,1,0,1,1,3,3,100,57,60,180,1,5
67,1,0,1,2,3,4,1,75,60,180,1,5
68,1,0,1,1,3,1,82,1,60,180,1,5
69,1,0,1,1,3,4,80,82,60,180,2,5
70,1,0,1,1,3,1,58,9,60,180,3,5
71,1,0,1,1,3,2,57,79,60,180,2,5
72,1,0,1,1,3,2,83,24,60,180,1,5
73,1,0,1,1,3,1,34,69,60,180,2,5
74,1,0,1,1,3,1,81,39,60,180,3,5
75,1,0,1,1,3,3,84,84,60,180,3,5
76,1,0,1,1,3,2,96,45,60,180,3,5
77,1,0,1,2,3,3,87,98,0,300,4,5
78,1,0,1,1,3,4,10,74,60,180,1,5
79,1,0,1,1,3,3,5,47,60,180,3,5
80,1,0,1,1,3,1,62,89,60,180,4,5
81,1,0,1,2,3,2,60,8,0,300,3,5
82,1,0,1,1,3,1,36,15,60,180,4,5
83,1,0,1,2,3,2,73,63,300,600,4,5
84,1,0,1,1,3,2,35,95,60,180,4,5
85,1,0,1,1,3,4,97,59,60,180,4,5
86,1,0,1,1,3,4,52,51,60,180,1,5
87,1,0,1,1,3,4,21,31,60,180,2,5
88,1,0,1,1,3,1,68,46,60,180,3,5
89,1,0,1,1,3,1,67,98,60,180,1,5
90,1,0,1,1,3,4,2,9,60,180,2,5
91,1,0,1,1,3,4,7,7,60,180,4,5
92,1,0,1,1,3,4,84,34,60,180,1,5
93,1,0,1,1,3,4,82,24,60,180,4,5
94,1,0,1,1,3,2,56,19,60,180,3,5
95,1,0,1,1,3,3,88,63,60,180,3,5
96,1,0,1,1,3,1,49,94,60,180,4,5
97,1,0,1,1,3,3,49,3,60,180,1,5
98,1,0,1,1,3,3,44,58,60,180,4,5
99,1,0,1,1,3,2,31,96,60,180,2,5
100,1,0,1,1,3,4,2,54,60,180,2,5
101,1,0,1,1,3,1,88,27,60,180,4,5
102,1,0,1,1,3,2,21,75,60,180,2,5
103,1,0,1,1,3,4,66,74,60,180,3,5
104,1,0,1,1,3,1,74,97,60,180,3,5
105,1,0,1,1,3,4,81,57,60,180,4,5
106,1,0,1,1,3,4,58,51,60,180,3,5
107,1,0,1,1,3,3,69,8,60,180,3,5
108,1,0,1,1,3,4,89,75,60,180,4,5
109,1,0,1,1,3,4,27,3,60,180,3,5
110,1,0,1,2,3,4,30,26,420,540,4,5
111,1,0,1,1,3,4,73,71,60,180,4,5
112,1,0,1,1,3,4,69,53,60,180,3,5
113,1,0,1,1,3,4,71,30,60,180,3,5
114,1,0,1,1,3,3,13,69,60,180,2,5
115,1,0,1,1,3,3,19,89,60,180,4,5
116,1,0,1,1,3,4,33,25,60,180,2,5
117,1,0,1,1,3,2,97,32,60,180,2,5
118,1,0,1,1,3,4,0,50,60,180,4,5
119,1,0,1,1,3,3,74,26,60,180,3,5
120,1,0,1,1,3,4,88,30,60,180,1,5
121,1,0,1,2,3,3,5,20,180,300,4,5
122,1,0,1,1,3,4,85,16,60,180,3,5
123,1,0,1,2,3,4,77,94,0,300,1,5
124,1,0,1,1,3,3,26,7,60,180,1,5
125,1,0,1,1,3,4,73,94,60,180,3,5
126,1,0,1,1,3,2,13,10,60,180,3,5
127,1,0,1,1,3,3,18,34,60,180,3,5
128,1,0,1,1,3,2,91,31,60,180,1,5
129,1,0,1,1,3,3,96,59,60,180,1,5
130,1,0,1,1,3,2,11,77,60,180,3,5
131,1,0,1,1,3,3,79,40,60,180,4,5
132,1,0,1,1,3,4,13,76,60,180,2,5
133,1,0,1,1,3,4,59,58,60,180,4,5
134,1,0,1,1,3,1,62,8,60,180,3,5
135,1,0,1,1,3,1,21,7,60,180,3,5
136,1,0,1,1,3,1,77,96,60,180,3,5
137,1,0,1,1,3,2,15,64,60,180,4,5
138,1,0,1,1,3,1,8,93,60,180,3,5
139,1,0,1,1,3,2,22,79,60,180,3,5
140,1,0,1,1,3,2,9,34,60,180,2,5
141,1,0,1,1,3,1,72,67,60,180,4,5
142,1,0,1,1,3,2,59,12,60,180,2,5
143,1,0,1,1,3,3,96,78,60,180,3,5
144,1,0,1,1,3,4,14,4,60,180,3,5
145,1,0,1,1,3,3,19,26,60,180,4,5
146,1,0,1,1,3,2,66,21,60,180,1,5
147,1,0,1,1,3,2,94,87,60,180,1,5
148,1,0,1,1,3,3,52,23,60,180,3,5
149,1,0,1,1,3,3,0,30,60,180,4,5
150,1,0,1,1,3,1,28,13,60,180,2,5
151,1,0,1,1,3,2,18,51,60,180,2,5
152,1,0,1,1,3,3,0,35,60,180,4,5
153,1,0,1,1,3,4,41,53,60,180,2,5
154,1,0,1,1,3,1,76,61,60,180,3,5
155,1,0,1,1,3,3,57,26,60,180,2,5
156,1,0,1,1,3,3,22,5,60,180,3,5
157,1,0,1,1,3,3,49,26,60,180,1,5
158,1,0,1,1,3,3,57,33,60,180,4,5
159,1,0,1,1,3,4,7,63,60,180,4,5
160,1,0,1,1,3,4,45,53,60,180,3,5
161,1,0,1,1,3,2,8,97,60,180,2,5
