Order,Day-Order,Time-Order,Day-Ops,Service,Type,Origin,X,Y,Early,Latest,Demand,Service Time 
,,,,,0,1,50,100,,,,0
,,,,,1,1,27,36,,,,15
,,,,,1,1,60,24,,,,15
,,,,,0,2,50,100,,,,0
,,,,,1,2,53,67,,,,15
,,,,,1,2,22,33,,,,15
1,1,0,1,1,3,1,27,96,60,180,4,5
2,1,0,1,1,3,1,62,61,60,180,1,5
3,1,0,1,1,3,1,10,75,60,180,4,5
4,1,0,1,2,3,1,7,19,300,420,3,5
5,1,0,1,1,3,1,91,22,60,180,4,5
6,1,0,1,2,3,2,21,55,60,180,3,5
7,1,0,1,2,3,2,27,45,420,540,4,5
8,1,0,1,2,3,2,80,11,420,540,1,5
9,1,0,1,1,3,2,5,30,60,180,2,5
10,1,0,1,2,3,2,16,23,300,600,3,5
11,2,398,3,1,3,1,30,50,60,180,1,5
12,14,414,14,2,3,2,46,4,420,540,3,5
13,1,394,1,2,3,1,22,45,420,540,4,5
14,12,272,12,2,3,1,89,72,420,540,4,5
15,7,18,8,2,3,1,58,61,300,600,2,5
16,5,115,6,1,3,2,71,68,60,180,4,5
17,11,287,11,2,3,2,26,15,300,600,3,5
18,7,62,8,1,3,1,77,10,60,180,2,5
19,2,438,4,1,3,1,51,49,180,300,3,5
20,6,315,7,2,3,2,18,100,0,300,3,5
21,9,253,10,2,3,2,99,27,60,180,4,5
22,1,19,2,1,3,1,32,54,0,300,1,5
23,8,192,8,2,3,2,99,12,420,540,3,5
24,12,556,13,2,3,2,45,25,300,600,1,5
25,11,476,13,1,3,2,49,27,60,180,1,5
26,7,75,9,2,3,1,53,16,420,540,3,5
27,13,409,14,1,3,1,8,2,180,300,1,5
28,8,414,9,2,3,1,37,91,60,180,2,5
29,13,549,14,2,3,2,83,85,0,300,2,5
30,2,544,3,1,3,2,69,88,0,300,3,5
31,5,275,6,1,3,1,77,12,180,300,3,5
32,10,489,11,1,3,1,24,98,0,300,2,5
33,10,356,10,2,3,2,82,92,420,540,2,5
34,11,81,12,1,3,2,57,98,180,300,3,5
35,1,469,3,1,3,1,15,40,180,300,2,5
36,3,473,4,2,3,1,3,27,180,300,3,5
37,10,482,11,2,3,1,80,81,0,300,1,5
38,3,7,3,2,3,1,44,26,180,300,3,5
39,8,478,10,1,3,2,50,6,60,180,3,5
40,14,274,14,2,3,2,43,15,300,600,2,5
41,6,576,7,1,3,1,30,2,60,180,3,5
42,8,34,9,1,3,1,53,49,0,300,4,5
43,2,376,2,2,3,1,70,72,420,540,2,5
44,9,213,10,2,3,1,25,50,0,300,2,5
45,12,387,14,1,3,1,50,63,60,180,3,5
46,1,585,2,1,3,2,19,58,0,300,2,5
47,9,359,11,1,3,1,24,80,180,300,2,5
48,1,310,1,2,3,2,98,32,420,540,1,5
49,7,232,8,2,3,2,1,52,420,540,1,5
50,2,263,2,2,3,1,100,47,420,540,3,5
51,1,157,1,2,3,1,18,2,420,540,1,5
52,3,140,3,1,3,2,56,62,180,300,4,5
53,14,220,14,2,3,2,52,73,300,420,2,5
54,8,549,10,1,3,1,92,63,0,300,4,5
55,2,282,2,2,3,2,25,86,420,540,2,5
56,10,568,12,2,3,1,46,50,0,300,4,5
57,11,242,11,2,3,2,9,12,420,540,2,5
58,9,484,10,1,3,2,17,55,180,300,1,5
59,12,451,13,2,3,1,8,27,420,540,4,5
60,6,591,8,1,3,2,84,24,60,180,2,5
61,13,201,14,2,3,2,0,75,180,300,2,5
62,1,242,1,2,3,2,45,93,300,420,2,5
63,1,10,1,1,3,1,45,81,60,180,4,5
64,1,566,3,1,3,2,86,53,60,180,2,5
65,10,206,10,2,3,1,84,80,300,420,4,5
66,6,550,8,1,3,1,58,2,180,300,4,5
67,13,543,14,1,3,1,33,86,0,300,2,5
68,12,486,14,1,3,2,8,7,0,300,3,5
69,11,7,12,2,3,1,89,33,300,420,1,5
70,1,588,2,2,3,2,11,25,180,300,3,5
71,4,490,6,2,3,2,89,85,180,300,2,5
72,7,221,8,1,3,1,78,56,60,180,2,5
73,1,484,3,2,3,1,71,56,0,300,2,5
74,6,122,7,2,3,2,66,12,420,540,4,5
75,3,566,5,2,3,2,17,60,180,300,4,5
76,12,203,13,2,3,2,84,90,300,600,1,5
77,8,426,9,1,3,1,100,65,180,300,2,5
78,12,374,12,2,3,2,70,27,420,540,1,5
79,4,145,4,1,3,1,43,2,180,300,4,5
80,6,302,6,2,3,1,66,29,420,540,4,5
81,5,175,5,1,3,1,23,85,180,300,1,5
82,11,337,12,2,3,2,52,68,180,300,2,5
83,2,252,2,2,3,1,32,17,300,420,3,5
84,3,135,3,2,3,2,48,59,180,300,2,5
85,2,194,3,1,3,2,25,27,180,300,4,5
86,11,254,11,2,3,1,80,69,300,600,2,5
87,12,39,13,2,3,1,3,65,180,300,3,5
88,13,79,13,1,3,1,64,41,180,300,1,5
89,8,552,9,1,3,1,22,83,180,300,3,5
90,4,424,5,2,3,1,75,65,420,540,4,5
91,9,77,10,2,3,1,67,70,60,180,1,5
92,11,432,12,1,3,2,100,73,60,180,3,5
93,3,314,3,2,3,1,67,83,420,540,3,5
94,13,384,14,1,3,2,49,97,180,300,4,5
95,5,241,6,2,3,1,97,97,60,180,2,5
96,10,194,11,1,3,1,96,98,180,300,3,5
97,10,245,11,2,3,2,50,32,60,180,1,5
98,13,499,15,1,3,2,75,24,180,300,4,5
99,6,522,8,1,3,1,18,77,180,300,2,5
100,5,511,7,2,3,2,80,34,60,180,3,5
101,3,580,4,1,3,1,62,28,0,300,2,5
102,6,485,8,1,3,1,35,35,0,300,1,5
103,8,595,10,1,3,2,34,16,0,300,2,5
104,7,575,8,1,3,2,89,73,60,180,4,5
105,10,227,10,2,3,2,71,70,420,540,2,5
106,5,213,6,1,3,1,29,3,180,300,3,5
107,5,415,6,1,3,1,80,48,60,180,4,5
108,12,87,13,1,3,2,49,76,60,180,3,5
109,14,457,15,1,3,1,25,25,60,180,3,5
110,7,217,7,2,3,1,20,93,300,420,3,5
111,6,400,6,2,3,2,2,89,420,540,4,5
112,13,543,14,2,3,1,54,0,0,300,2,5
113,3,57,3,1,3,2,7,47,60,180,4,5
114,6,42,6,2,3,2,75,82,0,300,1,5
115,13,137,14,2,3,1,47,4,0,300,2,5
116,14,478,15,1,3,2,99,16,0,300,4,5
117,13,306,13,2,3,2,100,96,420,540,3,5
118,14,332,15,1,3,1,20,49,60,180,3,5
119,7,446,9,1,3,2,80,14,0,300,1,5
120,10,56,10,1,3,1,14,25,60,180,4,5
121,7,201,7,2,3,2,95,3,300,600,1,5
122,13,111,14,2,3,1,34,1,420,540,2,5
123,1,473,2,1,3,1,77,43,60,180,3,5
124,13,453,14,1,3,1,95,68,180,300,3,5
125,12,386,12,2,3,2,42,66,420,540,1,5
126,12,497,14,1,3,1,84,17,60,180,3,5
127,3,179,3,1,3,1,88,12,180,300,4,5
128,2,228,2,2,3,2,93,59,300,420,2,5
129,10,221,10,2,3,1,79,24,300,420,2,5
130,13,490,15,2,3,2,46,62,180,300,1,5
131,7,242,7,2,3,2,52,99,300,600,1,5
132,10,476,12,1,3,2,7,73,60,180,4,5
133,7,500,9,1,3,1,99,50,180,300,4,5
134,7,358,7,2,3,1,79,52,420,540,4,5
135,11,149,12,1,3,1,62,84,180,300,1,5
136,12,480,14,2,3,2,24,13,180,300,3,5
137,4,291,5,1,3,1,85,56,0,300,3,5
138,12,124,12,1,3,1,31,45,180,300,2,5
139,13,423,14,2,3,2,96,47,300,420,3,5
140,6,116,6,1,3,1,11,76,180,300,4,5
141,6,572,8,1,3,1,89,26,180,300,3,5
142,14,315,15,1,3,1,50,90,60,180,2,5
143,11,561,13,1,3,1,11,36,60,180,2,5
144,13,28,14,1,3,2,42,46,0,300,1,5
145,14,464,16,1,3,1,53,97,0,300,3,5
146,3,83,4,2,3,2,98,41,300,420,4,5
147,11,61,12,1,3,2,43,55,180,300,1,5
148,14,421,16,1,3,1,34,53,180,300,3,5
149,6,423,8,2,3,2,40,91,180,300,2,5
150,8,291,9,2,3,1,13,100,300,420,2,5
151,8,201,9,1,3,1,57,67,180,300,3,5
152,13,538,14,1,3,1,30,1,180,300,2,5
153,9,155,10,2,3,1,82,67,420,540,1,5
154,4,395,4,2,3,2,8,22,420,540,1,5
155,11,340,11,2,3,1,24,15,420,540,4,5
156,10,98,10,2,3,1,68,6,420,540,4,5
157,1,115,2,2,3,1,95,33,60,180,3,5
158,5,571,7,2,3,2,100,73,180,300,2,5
159,12,592,14,1,3,2,28,22,180,300,3,5
160,2,72,2,2,3,1,35,36,300,600,4,5
161,4,185,4,2,3,1,4,33,300,420,4,5
162,7,384,7,2,3,1,80,49,420,540,2,5
163,12,446,14,2,3,2,32,59,420,540,1,5
164,12,374,12,2,3,1,96,43,420,540,3,5
165,9,40,9,1,3,1,75,26,60,180,2,5
