Order,Day-Order,Time-Order,Day-Ops,Service,Type,Origin,X,Y,Early,Latest,Demand,Service Time 
,,,,,0,1,50,100,,,,0
,,,,,1,1,27,36,,,,15
,,,,,1,1,60,24,,,,15
,,,,,0,2,50,100,,,,0
,,,,,1,2,53,67,,,,15
,,,,,1,2,22,33,,,,15
1,1,0,1,1,3,1,81,2,60,180,4,5
2,1,0,1,2,3,1,26,78,420,540,1,5
3,1,0,1,2,3,1,75,86,0,300,4,5
4,1,0,1,2,3,1,42,13,60,180,1,5
5,1,0,1,2,3,1,17,44,60,180,1,5
6,1,0,1,1,3,2,6,30,60,180,1,5
7,1,0,1,1,3,2,59,32,60,180,4,5
8,1,0,1,2,3,2,11,79,180,300,2,5
9,1,0,1,1,3,2,91,12,60,180,1,5
10,1,0,1,1,3,2,97,23,60,180,2,5
11,2,267,3,2,3,2,26,4,180,300,1,5
12,9,201,9,2,3,1,46,82,420,540,1,5
13,13,219,13,2,3,2,67,100,420,540,4,5
14,4,247,5,2,3,1,31,71,0,300,1,5
15,6,341,6,2,3,1,2,63,420,540,2,5
16,10,276,10,2,3,2,48,58,300,600,3,5
17,8,459,10,1,3,2,87,61,0,300,1,5
18,10,169,10,2,3,1,14,37,300,420,2,5
19,11,175,12,2,3,2,20,15,180,300,3,5
20,3,173,3,2,3,2,40,55,180,300,1,5
21,7,536,8,2,3,1,3,85,60,180,4,5
22,11,129,11,2,3,1,34,67,300,600,4,5
23,12,562,14,2,3,2,81,84,0,300,2,5
24,13,33,15,2,3,2,97,34,300,420,3,5
25,11,312,11,2,3,2,79,28,420,540,4,5
26,9,40,10,2,3,2,90,71,420,540,2,5
27,12,443,14,1,3,2,10,89,180,300,4,5
28,9,127,9,2,3,2,16,1,180,300,2,5
29,6,62,6,1,3,1,34,1,180,300,1,5
30,8,115,9,2,3,1,86,0,420,540,2,5
31,11,19,11,2,3,2,2,28,420,540,1,5
32,1,350,1,2,3,2,51,24,420,540,3,5
33,5,396,5,2,3,2,83,20,420,540,4,5
34,7,51,7,2,3,2,48,34,0,300,4,5
35,9,148,9,1,3,1,78,81,180,300,4,5
36,1,106,1,2,3,1,0,17,300,420,3,5
37,8,197,10,2,3,2,86,25,420,540,2,5
38,12,532,14,2,3,2,51,76,60,180,1,5
39,6,32,7,1,3,2,85,87,180,300,4,5
40,8,175,9,2,3,1,83,47,180,300,1,5
41,13,41,13,2,3,2,14,98,420,540,3,5
42,5,294,6,2,3,1,75,94,0,300,1,5
43,5,425,7,2,3,2,36,20,420,540,2,5
44,4,456,5,2,3,1,86,12,180,300,2,5
45,11,353,11,2,3,2,41,58,420,540,1,5
46,14,432,15,2,3,2,16,24,60,180,1,5
47,13,288,14,2,3,2,7,0,180,300,3,5
48,3,244,3,2,3,1,54,15,300,600,2,5
49,3,122,3,1,3,1,82,16,180,300,3,5
50,13,10,14,2,3,1,59,21,300,420,1,5
51,10,506,11,1,3,2,57,98,0,300,2,5
52,6,493,8,2,3,2,30,30,60,180,1,5
53,14,115,15,1,3,2,97,49,0,300,4,5
54,6,106,7,1,3,2,9,10,0,300,4,5
55,11,85,11,2,3,2,57,75,300,600,3,5
56,11,219,11,2,3,2,32,49,420,540,4,5
57,13,324,13,2,3,1,36,40,420,540,4,5
58,10,510,11,2,3,2,67,6,60,180,4,5
59,7,243,7,2,3,2,87,47,420,540,4,5
60,1,406,1,2,3,1,43,11,420,540,3,5
61,13,314,13,2,3,1,61,76,420,540,1,5
62,11,1,11,2,3,2,76,51,60,180,2,5
63,8,243,9,2,3,1,41,98,180,300,1,5
64,8,328,8,2,3,2,53,78,420,540,4,5
65,12,57,12,2,3,2,71,16,420,540,1,5
66,1,376,2,2,3,1,96,62,0,300,4,5
67,10,253,10,2,3,2,94,85,420,540,3,5
68,12,251,13,1,3,2,33,92,0,300,3,5
69,8,233,8,2,3,2,77,58,300,600,4,5
70,13,239,13,2,3,1,13,100,300,600,1,5
71,8,150,8,2,3,2,1,63,300,420,3,5
72,2,414,2,2,3,2,29,59,420,540,3,5
73,10,181,10,2,3,2,16,38,300,600,4,5
74,3,357,3,2,3,2,76,37,420,540,1,5
75,6,191,8,1,3,1,84,25,60,180,3,5
76,13,598,14,2,3,2,18,25,420,540,2,5
77,5,307,6,2,3,1,67,0,300,420,1,5
78,13,433,15,1,3,1,6,7,180,300,2,5
79,2,577,3,2,3,2,25,68,180,300,2,5
80,13,481,14,2,3,1,47,35,180,300,4,5
81,13,499,15,1,3,1,2,5,180,300,3,5
82,5,100,5,2,3,1,95,48,300,420,4,5
83,5,443,7,2,3,2,14,53,420,540,2,5
84,5,598,7,2,3,2,15,93,60,180,2,5
85,5,56,6,1,3,2,16,3,0,300,2,5
86,10,162,10,1,3,1,7,68,180,300,1,5
87,2,350,2,2,3,1,13,35,420,540,4,5
88,10,192,10,2,3,1,51,5,420,540,2,5
89,1,588,2,1,3,2,67,66,180,300,2,5
90,6,49,6,2,3,1,89,38,420,540,1,5
91,13,36,13,2,3,2,65,24,300,420,1,5
92,11,165,11,1,3,2,38,81,180,300,1,5
93,6,163,6,1,3,1,17,24,180,300,1,5
94,5,566,6,2,3,2,32,11,300,600,3,5
95,9,326,9,2,3,1,31,27,420,540,4,5
96,3,548,5,2,3,1,100,18,60,180,1,5
97,1,422,3,2,3,1,16,0,60,180,1,5
98,12,423,14,1,3,1,2,93,60,180,1,5
99,1,80,1,1,3,1,27,24,180,300,1,5
100,6,186,6,2,3,2,46,63,300,420,1,5
101,8,92,8,2,3,2,19,14,420,540,1,5
102,12,461,14,2,3,1,7,15,420,540,2,5
103,14,79,14,2,3,2,73,78,180,300,3,5
104,9,379,9,2,3,2,92,36,420,540,1,5
105,4,183,4,2,3,1,50,47,300,600,3,5
106,5,181,6,2,3,1,99,69,180,300,4,5
107,6,224,6,2,3,2,10,62,300,420,2,5
108,14,205,14,2,3,1,93,92,420,540,1,5
109,1,24,2,2,3,2,17,96,300,600,3,5
110,8,567,9,1,3,2,27,39,60,180,4,5
111,5,242,5,2,3,2,78,25,420,540,1,5
112,14,595,16,1,3,2,36,12,60,180,3,5
113,13,313,13,2,3,2,82,90,420,540,2,5
114,7,186,7,2,3,2,51,42,420,540,1,5
115,8,41,9,2,3,1,71,95,60,180,2,5
116,5,549,7,2,3,1,86,77,300,420,2,5
117,3,498,4,1,3,2,95,41,0,300,4,5
118,7,256,8,2,3,2,92,24,60,180,3,5
119,7,171,7,2,3,1,14,61,420,540,2,5
120,5,415,5,2,3,1,7,64,420,540,4,5
121,11,118,11,1,3,2,6,46,180,300,3,5
122,9,530,11,1,3,2,29,47,180,300,3,5
123,1,289,1,2,3,1,39,74,300,420,2,5
124,8,351,8,2,3,1,48,82,420,540,3,5
125,13,412,13,2,3,2,86,3,420,540,1,5
126,5,228,6,2,3,1,100,75,60,180,3,5
127,5,230,6,1,3,2,99,54,60,180,4,5
128,2,217,2,2,3,2,10,54,420,540,3,5
129,8,321,9,2,3,2,79,42,420,540,1,5
130,12,348,12,2,3,2,18,79,420,540,2,5
131,6,216,6,2,3,2,88,90,300,420,1,5
132,5,371,6,2,3,2,81,38,300,600,2,5
133,3,330,3,2,3,2,68,99,420,540,2,5
134,2,267,2,2,3,1,16,36,300,600,2,5
135,2,412,2,2,3,1,96,83,420,540,4,5
136,9,0,10,1,3,2,11,29,60,180,1,5
137,4,79,4,2,3,1,81,43,180,300,4,5
138,1,535,3,2,3,2,11,14,300,600,2,5
139,7,503,9,2,3,2,36,61,420,540,3,5
140,7,511,8,2,3,1,11,84,300,600,1,5
141,1,347,2,2,3,1,39,15,60,180,2,5
142,4,499,6,2,3,1,24,48,0,300,1,5
143,6,121,7,2,3,2,75,98,0,300,1,5
144,5,354,5,2,3,1,32,13,420,540,2,5
145,7,38,8,2,3,1,21,79,0,300,3,5
146,6,56,6,2,3,1,71,85,60,180,4,5
147,5,260,5,2,3,1,85,18,420,540,4,5
148,13,403,14,1,3,1,27,1,0,300,2,5
149,4,18,4,1,3,2,89,67,60,180,4,5
150,10,379,10,2,3,2,21,32,420,540,4,5
151,10,404,11,2,3,2,26,13,60,180,2,5
152,9,476,10,2,3,2,57,97,60,180,1,5
153,6,406,6,2,3,1,2,71,420,540,3,5
154,3,596,5,2,3,2,63,69,0,300,1,5
155,13,477,15,1,3,2,69,95,60,180,2,5
156,13,38,13,1,3,1,49,34,60,180,4,5
157,3,410,4,2,3,2,37,56,300,600,1,5
158,9,129,9,1,3,1,40,25,180,300,2,5
159,12,135,12,2,3,2,45,9,300,420,2,5
160,4,589,5,1,3,1,32,62,0,300,2,5
161,11,60,11,2,3,1,23,10,420,540,3,5
162,9,153,10,2,3,2,27,34,180,300,2,5
163,5,44,5,2,3,2,64,86,0,300,3,5
164,13,568,14,2,3,2,53,74,0,300,3,5
165,7,183,8,2,3,2,87,32,60,180,4,5
