Order,Day-Order,Time-Order,Day-Ops,Service,Type,Origin,X,Y,Early,Latest,Demand,Service Time 
,,,,,0,1,50,100,,,,0
,,,,,1,1,27,36,,,,15
,,,,,1,1,60,24,,,,15
,,,,,0,2,50,100,,,,0
,,,,,1,2,53,67,,,,15
,,,,,1,2,22,33,,,,15
1,1,0,1,1,3,1,47,53,60,180,2,5
2,1,0,1,1,3,1,9,42,60,180,4,5
3,1,0,1,1,3,1,42,27,60,180,2,5
4,1,0,1,1,3,1,89,16,60,180,4,5
5,1,0,1,1,3,1,80,25,60,180,4,5
6,1,0,1,1,3,2,56,43,60,180,1,5
7,1,0,1,1,3,2,91,20,60,180,3,5
8,1,0,1,1,3,2,58,89,60,180,2,5
9,1,0,1,1,3,2,60,22,60,180,4,5
10,1,0,1,1,3,2,87,49,60,180,2,5
11,11,65,11,1,3,1,30,13,180,300,4,5
12,6,545,8,1,3,2,38,9,0,300,2,5
13,7,397,7,2,3,1,89,76,420,540,3,5
14,1,545,2,1,3,1,48,49,180,300,3,5
15,2,181,3,1,3,2,10,66,60,180,1,5
16,9,453,11,1,3,2,19,13,0,300,2,5
17,3,136,4,1,3,1,45,14,180,300,1,5
18,9,517,11,1,3,2,80,72,60,180,4,5
19,11,215,12,1,3,1,37,54,0,300,4,5
20,8,15,9,1,3,1,30,91,180,300,3,5
21,3,494,5,1,3,1,55,97,0,300,1,5
22,1,296,2,1,3,2,71,54,0,300,3,5
23,8,372,9,1,3,1,73,100,180,300,4,5
24,8,22,8,1,3,1,32,61,60,180,3,5
25,8,257,9,1,3,1,38,60,0,300,4,5
26,13,177,14,1,3,1,74,28,180,300,1,5
27,9,575,10,1,3,1,33,38,180,300,3,5
28,2,77,3,1,3,1,60,70,60,180,3,5
29,8,598,10,1,3,2,61,44,0,300,2,5
30,10,397,10,2,3,2,90,59,420,540,2,5
31,9,503,11,1,3,2,98,27,60,180,3,5
32,11,54,11,1,3,1,26,50,60,180,3,5
33,13,215,14,1,3,1,66,18,180,300,3,5
34,3,41,3,1,3,2,3,77,60,180,4,5
35,2,259,2,2,3,1,57,90,420,540,1,5
36,6,239,6,2,3,1,81,38,300,600,1,5
37,3,565,5,1,3,1,55,91,60,180,2,5
38,13,282,14,1,3,2,96,53,60,180,3,5
39,2,408,2,2,3,1,51,61,420,540,4,5
40,8,237,9,1,3,1,45,10,180,300,1,5
41,1,149,3,1,3,1,67,1,0,300,2,5
42,4,71,4,1,3,1,11,4,180,300,2,5
43,8,490,9,1,3,1,38,48,180,300,1,5
44,14,175,14,1,3,1,100,97,180,300,3,5
45,3,355,3,2,3,2,26,87,420,540,1,5
46,10,264,10,2,3,2,71,6,420,540,3,5
47,8,566,10,1,3,1,29,97,60,180,2,5
48,8,507,9,1,3,1,62,55,0,300,3,5
49,13,141,13,1,3,2,48,31,180,300,2,5
50,14,364,14,2,3,2,91,38,420,540,3,5
51,13,104,14,1,3,2,8,85,0,300,4,5
52,3,529,5,1,3,1,15,59,0,300,3,5
53,12,376,12,2,3,2,1,90,420,540,1,5
54,9,297,9,2,3,1,22,62,420,540,2,5
55,13,483,15,1,3,2,46,0,60,180,4,5
56,11,200,11,2,3,2,34,88,420,540,4,5
57,1,253,1,2,3,1,46,77,300,420,2,5
58,14,443,15,1,3,2,64,83,180,300,4,5
59,9,486,11,1,3,1,42,16,180,300,1,5
60,12,242,12,2,3,1,10,37,420,540,3,5
61,8,379,8,2,3,1,91,10,420,540,2,5
62,1,325,1,2,3,2,27,25,420,540,2,5
63,12,463,14,1,3,1,44,79,60,180,1,5
64,6,99,7,1,3,2,21,27,60,180,1,5
65,4,347,4,2,3,1,96,93,420,540,3,5
66,7,13,7,1,3,1,87,15,60,180,4,5
67,6,58,6,1,3,2,90,40,60,180,3,5
68,6,315,8,1,3,2,59,39,0,300,3,5
69,11,284,11,2,3,2,1,92,420,540,4,5
70,10,321,10,2,3,1,56,31,420,540,1,5
71,12,141,13,1,3,2,42,88,180,300,3,5
72,9,388,9,2,3,2,84,31,420,540,3,5
73,5,215,5,2,3,1,48,96,300,600,1,5
74,9,479,11,1,3,1,58,17,0,300,3,5
75,8,576,9,1,3,1,47,21,0,300,4,5
76,9,402,9,2,3,1,43,91,420,540,3,5
77,14,219,15,1,3,1,43,36,180,300,4,5
78,6,86,7,1,3,1,49,63,180,300,4,5
79,8,497,9,1,3,1,59,87,0,300,4,5
80,3,280,3,2,3,1,25,74,300,420,3,5
81,7,338,8,1,3,2,80,83,180,300,2,5
82,7,457,8,1,3,2,82,28,180,300,4,5
83,8,198,8,2,3,2,33,2,300,420,4,5
84,8,152,8,1,3,1,65,45,180,300,4,5
85,4,238,4,2,3,1,79,71,420,540,1,5
86,13,351,14,1,3,2,0,81,0,300,2,5
87,12,75,12,1,3,2,72,16,180,300,1,5
88,8,120,8,1,3,1,49,32,180,300,4,5
89,9,598,11,1,3,2,41,58,180,300,1,5
90,13,361,13,2,3,1,2,47,420,540,4,5
91,1,353,1,2,3,1,54,99,420,540,3,5
92,8,72,9,1,3,2,85,4,0,300,2,5
93,2,323,3,1,3,1,97,92,0,300,4,5
94,13,521,14,1,3,2,86,96,0,300,4,5
95,3,352,3,2,3,1,10,32,420,540,4,5
96,10,126,10,1,3,2,8,48,180,300,4,5
97,12,253,12,2,3,1,98,58,300,600,4,5
98,2,289,3,1,3,2,66,34,180,300,1,5
99,2,405,2,2,3,1,95,33,420,540,4,5
100,4,290,4,2,3,1,59,65,420,540,1,5
101,8,20,9,1,3,1,15,31,60,180,1,5
102,12,342,12,2,3,2,52,66,420,540,3,5
103,12,586,13,1,3,2,42,21,180,300,3,5
104,8,181,10,1,3,1,66,41,180,300,4,5
105,11,564,13,1,3,1,75,42,60,180,2,5
106,11,125,11,1,3,2,67,29,180,300,2,5
107,8,76,8,1,3,1,72,7,180,300,1,5
108,13,337,14,1,3,1,5,92,180,300,2,5
109,14,230,14,2,3,2,4,47,420,540,1,5
110,2,530,3,1,3,1,84,82,0,300,2,5
111,13,399,13,2,3,1,46,27,420,540,3,5
112,6,456,7,1,3,1,19,24,180,300,4,5
113,3,251,4,1,3,1,23,45,180,300,2,5
114,8,528,10,1,3,2,78,1,60,180,1,5
115,13,41,13,1,3,1,90,24,60,180,4,5
116,6,53,6,1,3,2,73,1,60,180,2,5
117,7,276,7,2,3,2,73,5,300,420,3,5
118,11,117,11,1,3,1,12,45,180,300,2,5
119,5,342,6,1,3,1,19,69,60,180,3,5
120,8,507,9,1,3,2,26,43,180,300,4,5
121,8,551,10,1,3,2,60,85,0,300,1,5
122,2,251,2,2,3,2,1,89,420,540,1,5
123,12,423,14,1,3,1,77,9,180,300,3,5
124,8,162,9,1,3,1,45,6,0,300,1,5
125,6,459,7,1,3,2,82,21,0,300,1,5
126,4,383,4,2,3,2,92,66,420,540,1,5
127,13,172,14,1,3,2,62,26,0,300,2,5
128,4,411,5,1,3,1,22,10,60,180,2,5
129,8,360,8,2,3,1,57,30,420,540,1,5
130,13,124,13,1,3,2,96,91,180,300,3,5
131,14,40,15,1,3,2,54,32,180,300,1,5
132,13,325,13,2,3,2,90,90,420,540,2,5
133,7,86,8,1,3,1,38,44,0,300,1,5
134,14,145,14,1,3,1,89,87,180,300,4,5
135,3,505,5,1,3,2,9,86,60,180,3,5
136,11,251,11,2,3,2,25,54,300,600,3,5
137,9,580,11,1,3,2,0,91,0,300,1,5
138,7,183,7,2,3,1,72,2,420,540,1,5
139,13,187,13,2,3,1,60,69,300,420,2,5
140,6,184,6,2,3,2,18,45,420,540,3,5
141,5,452,6,1,3,2,29,56,60,180,3,5
142,5,258,5,2,3,2,56,34,420,540,2,5
143,7,323,7,2,3,1,63,97,420,540,2,5
144,5,201,5,2,3,1,77,70,420,540,4,5
145,13,24,14,1,3,1,80,18,180,300,3,5
146,13,322,13,2,3,2,60,86,420,540,4,5
147,12,105,12,1,3,2,5,65,180,300,3,5
148,12,392,13,1,3,2,0,1,180,300,2,5
149,13,302,14,1,3,2,40,11,0,300,1,5
150,7,592,8,1,3,1,66,33,0,300,4,5
151,11,424,13,1,3,2,22,65,60,180,1,5
152,5,295,5,2,3,1,17,49,300,420,3,5
153,3,334,3,2,3,1,16,100,420,540,1,5
154,10,127,10,1,3,1,15,58,180,300,3,5
155,5,53,7,1,3,2,81,93,0,300,2,5
156,1,424,3,1,3,2,34,50,0,300,3,5
157,1,206,2,1,3,1,44,82,60,180,4,5
158,12,469,14,1,3,2,98,23,0,300,1,5
159,4,499,5,1,3,2,30,92,180,300,1,5
160,11,435,12,1,3,2,5,1,0,300,4,5
161,14,550,16,1,3,2,21,8,180,300,4,5
162,10,192,10,2,3,2,5,79,420,540,1,5
163,10,115,11,1,3,2,7,63,180,300,3,5
164,5,585,6,1,3,2,100,72,180,300,1,5
165,7,10,7,1,3,1,98,73,60,180,4,5
