Order,Day-Order,Time-Order,Day-Ops,Service,Type,Origin,X,Y,Early,Latest,Demand,Service Time 
,,,,,0,1,50,100,,,,0
,,,,,1,1,27,36,,,,15
,,,,,1,1,60,24,,,,15
,,,,,0,2,50,100,,,,0
,,,,,1,2,53,67,,,,15
,,,,,1,2,22,33,,,,15
1,1,0,1,2,3,1,94,45,60,180,4,5
2,1,0,1,1,3,1,73,61,60,180,4,5
3,1,0,1,2,3,1,34,14,420,540,3,5
4,1,0,1,1,3,1,96,72,60,180,3,5
5,1,0,1,1,3,1,39,4,60,180,4,5
6,1,0,1,1,3,2,55,19,60,180,2,5
7,1,0,1,1,3,2,25,65,60,180,4,5
8,1,0,1,1,3,2,63,39,60,180,3,5
9,1,0,1,1,3,2,66,44,60,180,4,5
10,1,0,1,1,3,2,79,35,60,180,1,5
11,9,93,10,1,3,2,88,85,180,300,3,5
12,8,268,9,2,3,2,97,96,180,300,2,5
13,4,115,5,2,3,1,26,24,300,420,3,5
14,2,462,4,1,3,2,31,79,60,180,2,5
15,7,450,9,2,3,2,86,40,0,300,1,5
16,11,117,12,1,3,2,15,75,0,300,2,5
17,5,148,6,2,3,1,37,3,60,180,1,5
18,13,341,13,2,3,2,67,36,420,540,2,5
19,5,167,5,1,3,1,77,91,180,300,2,5
20,11,528,13,1,3,1,56,53,0,300,3,5
21,9,26,9,2,3,2,82,75,420,540,3,5
22,2,233,2,2,3,2,61,61,420,540,3,5
23,12,501,14,1,3,1,100,22,180,300,2,5
24,12,498,13,1,3,1,81,100,0,300,4,5
25,8,223,8,2,3,1,49,81,300,420,3,5
26,4,177,4,2,3,2,99,33,180,300,3,5
27,7,504,8,2,3,1,92,98,60,180,3,5
28,3,171,4,1,3,1,25,68,180,300,1,5
29,2,226,2,2,3,1,73,46,420,540,1,5
30,14,286,15,1,3,1,52,14,0,300,4,5
31,1,355,2,1,3,1,87,67,0,300,3,5
32,12,494,14,1,3,1,64,38,180,300,2,5
33,9,448,10,1,3,2,24,61,0,300,1,5
34,2,283,3,1,3,2,22,11,180,300,1,5
35,13,367,14,2,3,2,15,45,300,420,1,5
36,4,547,5,2,3,1,57,49,420,540,3,5
37,3,425,4,1,3,2,83,89,0,300,4,5
38,10,60,11,1,3,1,96,88,60,180,1,5
39,12,317,13,1,3,2,83,8,180,300,1,5
40,10,306,10,2,3,1,86,1,420,540,3,5
41,3,196,3,2,3,1,61,48,420,540,2,5
42,5,157,6,1,3,2,61,31,0,300,3,5
43,4,360,4,2,3,1,54,41,420,540,4,5
44,2,495,3,1,3,1,99,58,60,180,2,5
45,3,292,3,2,3,1,31,82,420,540,4,5
46,5,117,6,1,3,1,26,85,180,300,3,5
47,14,154,15,2,3,2,87,44,300,600,2,5
48,9,512,11,1,3,2,40,29,0,300,1,5
49,9,115,9,1,3,2,41,10,180,300,2,5
50,10,324,10,2,3,2,44,37,420,540,4,5
51,14,152,15,1,3,1,6,97,60,180,4,5
52,5,529,6,1,3,2,93,56,180,300,3,5
53,9,162,9,1,3,2,32,4,180,300,3,5
54,9,144,9,1,3,1,34,94,180,300,4,5
55,11,316,11,2,3,1,0,26,420,540,3,5
56,13,194,13,2,3,2,44,8,300,600,1,5
57,13,343,13,2,3,1,50,62,420,540,3,5
58,1,375,1,2,3,1,8,46,420,540,2,5
59,12,25,13,2,3,2,48,26,300,600,2,5
60,4,55,4,1,3,2,36,53,60,180,1,5
61,12,581,13,1,3,1,71,80,0,300,2,5
62,7,476,8,1,3,2,20,27,60,180,1,5
63,12,403,12,2,3,1,38,38,420,540,3,5
64,2,292,2,2,3,1,88,22,420,540,1,5
65,4,242,4,2,3,2,93,41,420,540,3,5
66,10,507,11,1,3,2,81,10,180,300,1,5
67,13,489,15,2,3,2,9,90,420,540,4,5
68,1,555,2,1,3,1,83,13,0,300,4,5
69,14,373,14,2,3,1,80,14,420,540,2,5
70,2,305,3,1,3,1,54,62,180,300,2,5
71,12,55,13,2,3,2,86,66,300,420,1,5
72,9,111,9,1,3,1,97,69,180,300,4,5
73,6,323,6,2,3,1,99,58,420,540,2,5
74,10,143,11,1,3,2,72,42,180,300,3,5
75,6,175,7,1,3,1,93,29,0,300,1,5
76,4,280,5,1,3,2,33,76,60,180,2,5
77,10,573,12,2,3,1,89,25,300,420,2,5
78,9,332,9,2,3,1,57,61,420,540,1,5
79,11,465,12,1,3,1,69,23,60,180,4,5
80,3,51,3,1,3,2,44,86,60,180,1,5
81,13,343,13,2,3,1,24,65,420,540,4,5
82,7,370,7,2,3,1,99,31,420,540,4,5
83,4,341,4,2,3,1,4,7,420,540,1,5
84,13,500,15,2,3,2,29,48,60,180,4,5
85,7,367,8,1,3,2,60,53,60,180,3,5
86,8,599,9,2,3,2,93,56,60,180,2,5
87,14,495,15,1,3,1,71,52,0,300,4,5
88,13,472,15,2,3,2,40,47,180,300,2,5
89,10,562,11,1,3,1,85,64,180,300,1,5
90,2,361,2,2,3,1,37,78,420,540,2,5
91,8,178,10,1,3,2,82,72,0,300,1,5
92,11,585,12,2,3,1,63,83,420,540,1,5
93,7,367,7,2,3,2,51,54,420,540,4,5
94,2,393,3,1,3,2,46,70,0,300,4,5
95,9,153,9,1,3,2,29,23,180,300,3,5
96,8,354,8,2,3,2,56,65,420,540,1,5
97,10,468,12,1,3,2,60,50,0,300,1,5
98,13,14,14,2,3,2,77,53,420,540,3,5
99,4,334,4,2,3,1,84,89,420,540,2,5
100,9,451,10,2,3,2,5,46,180,300,2,5
101,11,383,12,1,3,1,30,70,60,180,2,5
102,9,494,11,1,3,2,46,41,0,300,1,5
103,7,233,7,2,3,1,100,63,420,540,1,5
104,9,541,10,1,3,1,89,37,0,300,3,5
105,7,46,7,1,3,1,44,58,60,180,4,5
106,1,148,1,1,3,2,76,60,180,300,4,5
107,12,145,12,1,3,1,24,69,180,300,1,5
108,4,243,5,1,3,2,81,47,0,300,2,5
109,6,554,7,1,3,2,39,31,60,180,4,5
110,4,313,6,1,3,2,17,99,0,300,3,5
111,13,275,14,2,3,1,27,98,0,300,2,5
112,6,265,6,2,3,1,7,28,300,420,2,5
113,3,472,4,1,3,2,29,89,60,180,1,5
114,10,253,10,2,3,1,18,55,420,540,1,5
115,11,328,11,2,3,1,6,25,420,540,2,5
116,7,149,8,1,3,2,55,76,180,300,3,5
117,8,294,10,2,3,1,50,8,420,540,4,5
118,2,561,4,1,3,2,2,78,60,180,1,5
119,5,529,6,2,3,1,12,81,420,540,2,5
120,3,311,4,1,3,1,42,16,0,300,1,5
121,3,579,5,1,3,2,17,62,60,180,2,5
122,8,151,8,2,3,2,31,51,180,300,3,5
123,1,191,2,2,3,2,15,41,60,180,4,5
124,4,83,4,2,3,2,42,93,420,540,2,5
125,9,596,11,1,3,2,90,99,0,300,3,5
126,12,10,13,1,3,1,26,66,0,300,2,5
127,13,568,15,1,3,2,27,75,60,180,3,5
128,10,167,11,2,3,1,66,48,60,180,2,5
129,11,137,11,1,3,1,26,95,180,300,3,5
130,11,365,12,1,3,2,35,1,0,300,4,5
131,1,590,3,1,3,2,25,99,0,300,1,5
132,11,257,11,2,3,1,39,5,300,420,3,5
133,5,570,6,1,3,1,7,77,0,300,4,5
134,3,354,3,2,3,2,49,19,420,540,3,5
135,12,68,13,1,3,2,13,76,0,300,1,5
136,11,480,13,1,3,2,59,86,60,180,1,5
137,12,511,14,2,3,1,38,30,0,300,1,5
138,10,418,10,2,3,1,43,56,420,540,2,5
139,1,338,1,2,3,1,91,41,420,540,3,5
140,12,552,13,1,3,2,84,84,0,300,4,5
141,2,473,3,2,3,1,55,19,0,300,1,5
142,2,562,3,1,3,1,67,69,0,300,4,5
143,7,450,9,1,3,2,93,91,60,180,4,5
144,6,427,7,2,3,1,12,11,420,540,1,5
145,2,291,2,2,3,1,16,72,420,540,1,5
146,13,495,15,1,3,1,44,6,180,300,2,5
147,2,40,3,1,3,2,21,99,60,180,4,5
148,8,144,9,1,3,1,56,46,180,300,3,5
149,14,491,16,1,3,2,55,42,0,300,1,5
150,7,477,8,1,3,1,39,13,180,300,4,5
151,11,220,12,1,3,1,59,68,0,300,1,5
152,3,409,3,2,3,2,37,5,420,540,2,5
153,4,175,4,2,3,1,46,48,420,540,1,5
154,13,434,15,1,3,1,65,54,180,300,2,5
155,8,471,9,1,3,1,37,61,60,180,2,5
156,14,555,15,1,3,1,28,36,180,300,1,5
157,10,29,10,1,3,2,10,93,60,180,4,5
158,10,489,12,1,3,2,7,66,180,300,4,5
159,1,556,3,1,3,2,73,40,60,180,2,5
160,5,462,7,1,3,2,31,5,0,300,3,5
161,14,566,16,2,3,2,98,44,60,180,4,5
162,13,540,14,2,3,1,2,37,0,300,1,5
163,5,119,5,1,3,2,19,98,180,300,2,5
164,8,310,9,1,3,1,56,21,60,180,2,5
165,5,449,6,1,3,1,5,73,180,300,3,5
