Order,Day-Order,Time-Order,Day-Ops,Service,Type,Origin,X,Y,Early,Latest,Demand,Service Time 
,,,,,0,1,50,100,,,,0
,,,,,1,1,27,36,,,,15
,,,,,1,1,60,24,,,,15
,,,,,0,2,50,100,,,,0
,,,,,1,2,53,67,,,,15
,,,,,1,2,22,33,,,,15
1,1,0,1,2,3,1,8,34,180,300,3,5
2,1,0,1,2,3,1,16,85,300,600,3,5
3,1,0,1,2,3,1,96,22,300,600,4,5
4,1,0,1,1,3,1,70,38,60,180,4,5
5,1,0,1,1,3,1,15,8,60,180,1,5
6,1,0,1,1,3,2,70,72,60,180,1,5
7,1,0,1,2,3,2,98,13,180,300,4,5
8,1,0,1,1,3,2,13,60,60,180,2,5
9,1,0,1,1,3,2,8,43,60,180,2,5
10,1,0,1,1,3,2,39,37,60,180,1,5
11,5,385,5,2,3,1,68,14,420,540,4,5
12,10,336,10,2,3,1,48,74,420,540,1,5
13,3,110,4,2,3,2,49,19,420,540,3,5
14,5,138,5,2,3,2,75,78,420,540,4,5
15,2,326,2,2,3,2,53,75,420,540,2,5
16,9,246,10,2,3,2,64,10,60,180,3,5
17,10,252,11,2,3,2,51,23,180,300,3,5
18,2,290,2,2,3,1,27,36,420,540,3,5
19,14,76,15,2,3,1,3,72,420,540,3,5
20,2,78,2,2,3,1,68,83,420,540,1,5
21,8,364,8,2,3,2,78,28,420,540,4,5
22,2,59,2,2,3,1,25,58,0,300,3,5
23,6,187,7,2,3,2,16,26,180,300,1,5
24,6,242,7,2,3,2,27,88,60,180,4,5
25,14,76,14,2,3,2,42,28,420,540,3,5
26,1,170,2,1,3,2,28,49,60,180,3,5
27,13,163,14,2,3,1,48,20,300,420,3,5
28,10,185,10,2,3,2,11,26,420,540,3,5
29,4,376,4,2,3,2,8,28,420,540,2,5
30,5,332,5,2,3,1,85,28,420,540,4,5
31,10,369,10,2,3,1,28,33,420,540,4,5
32,9,109,9,2,3,2,64,23,180,300,3,5
33,10,156,11,2,3,2,38,88,300,600,4,5
34,2,321,3,2,3,1,79,2,60,180,1,5
35,9,384,10,2,3,1,50,51,300,600,2,5
36,8,206,9,2,3,2,1,27,300,420,3,5
37,8,167,9,1,3,1,0,96,180,300,3,5
38,6,164,6,2,3,2,0,51,300,420,2,5
39,6,467,8,2,3,2,62,37,0,300,1,5
40,14,558,15,1,3,2,96,66,180,300,2,5
41,10,559,11,2,3,2,27,35,300,420,4,5
42,1,423,3,2,3,2,49,18,60,180,4,5
43,3,95,3,2,3,2,37,1,300,600,4,5
44,7,56,8,2,3,1,46,92,0,300,3,5
45,9,109,10,1,3,1,53,32,60,180,4,5
46,6,294,7,2,3,2,63,89,300,420,1,5
47,11,181,11,2,3,2,0,24,300,600,4,5
48,7,450,8,1,3,1,72,49,0,300,4,5
49,5,356,6,1,3,1,11,71,60,180,3,5
50,7,419,7,2,3,2,8,61,420,540,2,5
51,1,599,3,2,3,2,67,94,60,180,2,5
52,11,570,13,1,3,2,63,98,0,300,4,5
53,12,415,12,2,3,2,26,64,420,540,2,5
54,11,241,11,2,3,1,49,11,420,540,3,5
55,10,15,10,2,3,1,50,45,300,600,1,5
56,9,436,11,1,3,2,24,80,60,180,1,5
57,5,426,6,2,3,1,81,2,420,540,1,5
58,11,583,12,1,3,1,77,35,0,300,3,5
59,7,15,7,1,3,2,71,90,60,180,3,5
60,4,231,5,2,3,1,31,9,420,540,4,5
61,10,332,10,2,3,1,64,59,420,540,1,5
62,10,427,12,1,3,1,84,32,60,180,4,5
63,4,497,6,2,3,2,94,98,180,300,1,5
64,10,566,11,1,3,1,85,97,60,180,4,5
65,12,527,13,2,3,1,69,73,300,600,4,5
66,9,579,11,2,3,2,97,28,300,600,4,5
67,1,503,2,2,3,2,69,71,180,300,3,5
68,14,144,14,2,3,2,96,53,300,420,4,5
69,1,530,3,2,3,2,93,58,60,180,1,5
70,11,404,12,2,3,2,79,66,180,300,3,5
71,8,151,9,2,3,2,7,84,300,420,4,5
72,1,232,3,2,3,2,42,32,0,300,3,5
73,13,178,13,1,3,2,65,79,180,300,3,5
74,10,180,12,2,3,2,100,16,180,300,4,5
75,1,533,3,2,3,1,43,81,0,300,4,5
76,2,170,3,2,3,2,16,76,60,180,1,5
77,9,515,11,2,3,1,37,26,300,600,3,5
78,3,187,3,2,3,2,46,94,420,540,3,5
79,9,322,10,2,3,1,61,0,420,540,1,5
80,12,585,13,2,3,2,0,86,420,540,1,5
81,13,177,13,2,3,1,91,58,180,300,4,5
82,10,494,12,1,3,1,17,40,180,300,4,5
83,7,534,9,2,3,1,0,66,60,180,2,5
84,7,464,9,1,3,1,25,47,60,180,4,5
85,4,506,5,2,3,1,69,30,0,300,4,5
86,14,245,14,2,3,1,36,56,300,420,2,5
87,14,413,14,2,3,2,50,80,420,540,1,5
88,13,399,13,2,3,2,13,16,420,540,1,5
89,4,66,5,2,3,1,37,51,420,540,2,5
90,4,548,6,2,3,2,80,63,300,600,4,5
91,3,47,4,2,3,1,12,81,300,420,4,5
92,9,508,11,1,3,1,41,1,180,300,1,5
93,7,378,7,2,3,2,18,87,420,540,3,5
94,3,445,4,2,3,1,12,16,60,180,2,5
95,3,316,5,2,3,1,46,66,420,540,3,5
96,9,436,11,2,3,2,89,34,180,300,4,5
97,13,266,14,2,3,1,46,88,180,300,1,5
98,4,274,5,1,3,2,43,36,180,300,2,5
99,6,485,7,2,3,1,13,30,60,180,3,5
100,13,467,15,2,3,1,93,67,180,300,3,5
101,13,463,15,2,3,1,19,35,300,420,3,5
102,12,423,14,2,3,1,0,24,420,540,4,5
103,1,139,2,2,3,2,68,64,420,540,3,5
104,6,255,7,1,3,1,22,68,0,300,4,5
105,6,225,7,2,3,1,57,53,0,300,2,5
106,14,556,16,2,3,2,14,11,180,300,1,5
107,5,438,7,2,3,1,56,19,60,180,3,5
108,1,153,1,2,3,2,41,94,300,600,2,5
109,7,282,7,2,3,2,63,15,300,420,1,5
110,5,569,7,2,3,1,58,14,420,540,2,5
111,1,263,2,2,3,2,59,52,420,540,2,5
112,14,556,15,2,3,2,59,52,300,600,3,5
113,5,223,6,1,3,2,6,55,60,180,4,5
114,4,371,5,2,3,2,93,66,0,300,2,5
115,14,443,16,1,3,1,87,57,60,180,2,5
116,9,358,10,2,3,2,66,98,420,540,3,5
117,2,515,3,2,3,1,21,82,0,300,1,5
118,11,61,12,1,3,1,43,7,180,300,4,5
119,5,182,5,2,3,1,25,96,300,600,2,5
120,8,539,10,1,3,2,39,25,60,180,1,5
121,14,396,15,1,3,1,59,90,60,180,2,5
122,9,70,9,1,3,2,43,60,180,300,2,5
123,2,575,4,1,3,2,42,78,0,300,3,5
124,9,31,9,2,3,1,62,83,60,180,2,5
125,13,585,14,1,3,1,26,11,0,300,2,5
126,8,323,9,1,3,1,30,23,0,300,4,5
127,3,291,4,2,3,1,1,42,420,540,3,5
128,7,335,8,1,3,1,0,36,0,300,3,5
129,1,190,1,2,3,2,47,95,300,600,2,5
130,10,221,10,2,3,1,26,62,300,420,4,5
131,8,335,8,2,3,1,63,57,420,540,4,5
132,4,548,5,2,3,2,60,35,0,300,4,5
133,12,158,12,2,3,2,8,5,300,420,4,5
134,10,264,10,2,3,2,55,17,420,540,3,5
135,2,68,3,1,3,1,11,25,0,300,2,5
136,10,388,10,2,3,1,69,4,420,540,3,5
137,10,153,11,1,3,2,84,34,60,180,2,5
138,10,83,10,1,3,1,31,28,180,300,1,5
139,3,76,3,2,3,2,32,33,300,420,2,5
140,3,329,3,2,3,1,90,14,420,540,3,5
141,11,266,12,2,3,2,34,97,300,420,2,5
142,9,370,9,2,3,2,39,32,420,540,1,5
143,6,504,8,2,3,1,36,87,420,540,1,5
144,2,360,2,2,3,1,49,24,420,540,3,5
145,4,392,4,2,3,2,67,29,420,540,4,5
146,2,252,2,2,3,1,55,32,420,540,1,5
147,7,81,7,1,3,1,28,60,180,300,2,5
148,9,518,11,1,3,2,55,81,0,300,2,5
149,2,358,3,2,3,2,8,65,60,180,1,5
150,12,407,12,2,3,2,9,21,420,540,3,5
151,2,386,2,2,3,1,51,97,420,540,2,5
152,4,377,5,2,3,2,64,20,0,300,4,5
153,12,298,13,2,3,2,37,69,300,420,3,5
154,7,235,7,2,3,1,46,58,420,540,3,5
155,4,253,5,2,3,2,67,75,300,600,2,5
156,8,268,8,2,3,1,69,30,420,540,3,5
157,3,99,4,1,3,2,38,50,180,300,2,5
158,7,521,8,2,3,2,12,55,180,300,4,5
159,2,259,3,2,3,2,62,51,180,300,2,5
160,12,163,12,2,3,2,50,4,180,300,4,5
161,3,387,3,2,3,1,65,76,420,540,4,5
162,6,259,6,2,3,1,57,48,420,540,3,5
163,8,48,8,2,3,2,12,63,300,600,4,5
164,3,82,3,2,3,1,5,57,300,420,3,5
165,7,539,8,2,3,1,34,15,60,180,4,5
