Order,Day-Order,Time-Order,Day-Ops,Service,Type,Origin,X,Y,Early,Latest,Demand,Service Time 
,,,,,0,1,50,100,,,,0
,,,,,1,1,27,36,,,,15
,,,,,1,1,60,24,,,,15
,,,,,0,2,50,100,,,,0
,,,,,1,2,53,67,,,,15
,,,,,1,2,22,33,,,,15
1,1,0,1,1,3,1,12,13,60,180,1,5
2,1,0,1,1,3,1,20,100,60,180,4,5
3,1,0,1,1,3,1,44,50,60,180,1,5
4,1,0,1,1,3,1,25,94,60,180,4,5
5,1,0,1,1,3,1,17,19,60,180,3,5
6,1,0,1,1,3,2,36,12,60,180,4,5
7,1,0,1,1,3,2,89,47,60,180,4,5
8,1,0,1,1,3,2,30,96,60,180,2,5
9,1,0,1,1,3,2,47,83,60,180,4,5
10,1,0,1,1,3,2,99,61,60,180,2,5
11,11,200,12,1,3,2,0,9,60,180,4,5
12,6,331,7,1,3,1,47,90,60,180,4,5
13,9,4,9,1,3,1,11,96,60,180,3,5
14,1,66,2,1,3,1,71,34,180,300,1,5
15,12,474,14,1,3,2,88,2,0,300,2,5
16,11,368,12,1,3,2,71,4,0,300,1,5
17,7,434,8,1,3,1,98,57,180,300,1,5
18,7,286,8,1,3,1,98,93,0,300,2,5
19,4,185,4,2,3,1,100,72,300,600,4,5
20,13,101,13,1,3,1,45,77,180,300,2,5
21,1,400,1,2,3,1,50,28,420,540,2,5
22,6,502,8,1,3,1,37,76,0,300,1,5
23,13,286,13,2,3,2,41,18,420,540,4,5
24,7,240,7,2,3,1,68,80,420,540,3,5
25,14,327,15,1,3,2,62,71,60,180,4,5
26,1,512,2,1,3,2,40,45,60,180,3,5
27,14,351,14,2,3,2,90,9,420,540,2,5
28,11,147,11,1,3,2,99,67,180,300,3,5
29,8,267,8,2,3,1,32,61,420,540,4,5
30,14,543,16,1,3,2,64,15,60,180,2,5
31,4,518,6,1,3,2,82,73,60,180,3,5
32,9,567,10,1,3,2,99,40,60,180,1,5
33,2,212,2,2,3,2,82,1,300,420,3,5
34,12,135,12,1,3,1,85,63,180,300,3,5
35,13,599,15,1,3,1,88,55,0,300,4,5
36,7,441,9,1,3,2,17,5,180,300,1,5
37,5,431,6,1,3,1,92,41,180,300,4,5
38,13,347,14,1,3,2,27,5,0,300,4,5
39,9,25,9,1,3,1,30,84,60,180,2,5
40,1,435,2,1,3,1,80,46,180,300,2,5
41,6,89,6,1,3,2,79,47,180,300,3,5
42,14,471,16,1,3,1,53,69,180,300,4,5
43,12,252,12,2,3,2,19,33,420,540,1,5
44,13,360,13,2,3,2,38,90,420,540,1,5
45,10,18,11,1,3,1,73,0,60,180,3,5
46,4,139,5,1,3,2,14,15,180,300,2,5
47,6,523,8,1,3,2,66,21,60,180,2,5
48,7,168,9,1,3,1,15,8,60,180,2,5
49,10,487,11,1,3,1,18,44,0,300,2,5
50,6,532,8,1,3,2,25,87,60,180,3,5
51,14,355,14,2,3,1,26,0,420,540,3,5
52,14,201,16,1,3,2,64,9,60,180,1,5
53,10,275,10,2,3,1,61,11,420,540,2,5
54,7,562,8,1,3,2,1,39,60,180,3,5
55,10,272,11,1,3,2,31,57,180,300,1,5
56,5,482,6,1,3,2,44,1,180,300,4,5
57,1,524,3,1,3,2,21,50,180,300,1,5
58,12,54,13,1,3,1,50,53,0,300,1,5
59,8,409,8,2,3,2,14,16,420,540,3,5
60,7,4,7,1,3,2,11,85,60,180,4,5
61,6,178,7,1,3,1,74,74,0,300,1,5
62,11,61,12,1,3,1,61,7,180,300,4,5
63,12,431,13,1,3,2,0,98,60,180,1,5
64,3,500,4,1,3,1,24,24,180,300,2,5
65,7,324,7,2,3,1,79,5,420,540,1,5
66,6,217,6,2,3,2,56,34,420,540,2,5
67,12,106,12,1,3,2,79,58,180,300,2,5
68,2,264,3,1,3,1,92,64,180,300,2,5
69,2,452,3,1,3,1,30,87,0,300,2,5
70,7,85,7,1,3,2,91,80,180,300,1,5
71,1,598,2,1,3,1,15,95,0,300,2,5
72,2,262,2,2,3,1,25,51,300,420,3,5
73,10,51,10,1,3,2,48,44,60,180,1,5
74,1,94,1,1,3,1,74,93,180,300,3,5
75,11,113,11,1,3,2,98,21,180,300,2,5
76,4,495,6,1,3,1,77,71,60,180,1,5
77,6,566,8,1,3,1,14,29,60,180,2,5
78,7,510,8,1,3,1,44,68,0,300,1,5
79,1,454,3,1,3,2,3,98,60,180,4,5
80,2,264,4,1,3,1,76,24,0,300,4,5
81,4,313,4,2,3,1,66,38,420,540,2,5
82,6,364,7,1,3,1,30,57,0,300,4,5
83,13,133,14,1,3,2,34,94,180,300,2,5
84,3,212,4,1,3,2,70,14,60,180,4,5
85,8,304,8,2,3,2,59,80,420,540,3,5
86,13,562,14,1,3,2,16,0,60,180,3,5
87,9,146,10,1,3,1,91,30,180,300,3,5
88,9,68,9,1,3,2,98,85,180,300,3,5
89,4,331,4,2,3,2,24,73,420,540,1,5
90,8,142,8,1,3,2,37,62,180,300,3,5
91,8,9,9,1,3,1,55,31,60,180,1,5
92,6,152,7,1,3,1,5,78,180,300,1,5
93,3,336,3,2,3,1,63,22,420,540,4,5
94,12,511,13,1,3,1,10,12,180,300,1,5
95,6,409,6,2,3,1,42,56,420,540,2,5
96,4,336,4,2,3,2,88,61,420,540,3,5
97,1,228,1,2,3,1,0,56,300,420,3,5
98,4,295,5,1,3,1,55,33,0,300,3,5
99,14,458,15,1,3,1,11,14,180,300,2,5
100,5,508,6,1,3,2,28,81,180,300,2,5
101,6,94,7,1,3,1,37,32,180,300,2,5
102,4,325,5,1,3,1,52,32,180,300,1,5
103,6,594,8,1,3,1,58,18,180,300,3,5
104,11,105,12,1,3,1,46,28,60,180,1,5
105,7,261,7,2,3,2,91,37,420,540,3,5
106,7,259,7,2,3,1,56,7,420,540,1,5
107,1,363,2,1,3,2,29,2,60,180,3,5
108,9,409,9,2,3,2,27,36,420,540,1,5
109,8,20,9,1,3,1,28,36,60,180,1,5
110,10,152,10,1,3,2,41,52,180,300,1,5
111,13,521,15,1,3,1,50,90,60,180,4,5
112,10,117,11,1,3,2,85,86,180,300,4,5
113,13,435,14,1,3,1,70,64,0,300,2,5
114,14,63,14,1,3,2,0,94,180,300,2,5
115,4,29,5,1,3,1,50,69,0,300,1,5
116,5,226,5,2,3,1,93,63,300,420,2,5
117,13,540,15,1,3,2,39,72,0,300,1,5
118,2,486,3,1,3,2,68,91,60,180,1,5
119,12,340,13,1,3,1,18,10,180,300,3,5
120,7,396,7,2,3,1,16,50,420,540,2,5
121,5,318,5,2,3,2,68,12,420,540,2,5
122,3,473,5,1,3,2,39,6,180,300,4,5
123,3,13,4,1,3,1,38,89,0,300,2,5
124,3,316,3,2,3,2,87,29,420,540,1,5
125,10,433,12,1,3,2,8,92,0,300,2,5
126,4,529,6,1,3,2,69,62,0,300,4,5
127,12,331,13,1,3,2,59,14,180,300,3,5
128,6,255,7,1,3,1,85,14,60,180,4,5
129,10,241,11,1,3,1,13,3,180,300,1,5
130,11,172,11,1,3,1,83,75,180,300,1,5
131,1,490,3,1,3,1,83,21,180,300,4,5
132,3,534,4,1,3,2,39,55,0,300,3,5
133,14,594,16,1,3,2,28,20,0,300,1,5
134,3,567,4,1,3,1,45,12,0,300,4,5
135,13,343,14,1,3,2,25,59,0,300,3,5
136,7,98,7,1,3,2,4,67,180,300,1,5
137,13,176,13,1,3,2,75,75,180,300,1,5
138,2,562,4,1,3,1,79,27,180,300,3,5
139,12,379,12,2,3,1,1,9,420,540,1,5
140,4,34,4,1,3,2,7,83,60,180,1,5
141,3,130,5,1,3,1,75,68,180,300,1,5
142,8,393,9,1,3,1,58,72,60,180,4,5
143,6,592,7,1,3,1,81,78,0,300,2,5
144,3,23,3,1,3,1,82,62,60,180,1,5
145,12,580,14,1,3,2,2,10,180,300,2,5
146,11,525,13,1,3,1,36,96,0,300,1,5
147,11,56,12,1,3,2,63,83,180,300,2,5
148,4,464,6,1,3,1,36,97,0,300,3,5
149,12,480,13,1,3,2,88,91,0,300,2,5
150,12,114,13,1,3,2,61,90,180,300,4,5
151,6,455,8,1,3,2,23,2,60,180,1,5
152,7,81,8,1,3,2,10,42,180,300,4,5
153,2,456,4,1,3,1,43,75,0,300,3,5
154,13,578,15,1,3,2,96,15,60,180,4,5
155,14,463,15,1,3,1,49,3,60,180,2,5
156,4,599,6,1,3,2,16,96,60,180,4,5
157,1,400,1,2,3,1,14,87,420,540,1,5
158,3,410,3,2,3,2,10,92,420,540,3,5
159,13,116,13,1,3,2,46,92,180,300,2,5
160,1,263,1,2,3,1,97,97,420,540,1,5
161,13,454,14,1,3,1,9,60,0,300,4,5
162,3,564,4,1,3,2,7,32,60,180,1,5
163,8,140,8,1,3,2,57,0,180,300,1,5
164,5,409,5,2,3,1,47,77,420,540,4,5
165,12,539,14,1,3,2,79,35,180,300,2,5
